"Name","Company","State","City","Salary","Location","Url"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=221861&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_678c743f&cb=1517723117555&jobListingId=2645047075"
"Senior Analyst, Master Data Services","Suncor Energy Services  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=215489&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b47ad1cc&cb=1517723117556&jobListingId=2606746950"
"Data Analyst","Rosen","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c313ee5a&cb=1517723117557&jobListingId=2475030654"
"Test Data Analyst","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=154425&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d2f7c631&cb=1517723117558&jobListingId=2648904279"
"Data Analyst (Pipeline Inspection)","Baker Hughes GE","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=37049&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5a68e010&cb=1517723117559&jobListingId=2645937927"
"Data Analyst - GE Pipeline Inspection","GE Oil & Gas","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133822&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9db0dae0&cb=1517723117560&jobListingId=2641797589"
"Intermediate Data Security Analyst To Work As Part","SI Systems  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=186496&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81c949f7&cb=1517723117561&jobListingId=2654043276"
"Data Analyst, Geoscience","Suncor Energy Services","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=215489&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eb136abe&cb=1517723117562&jobListingId=2613469717"
"Pipeline Inspection Data Analyst","Onstream Pipeline Inspection Services  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186496&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_961590d6&cb=1517723117564&jobListingId=2654043130"
"ProChart Data Quality Analyst","Elevated HR","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=52448&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_378b9f9b&cb=1517723117564&jobListingId=2602827252"
"Senior Data Analyst/Developers","Quadrus Development","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_eeca7bb6&cb=1517723117565&jobListingId=2494428589"
"Online Options Trader - Finance, Data, Analyst - Work From Home","Maverick trading","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=136136&s=58&guid=000001615f58e6cea923c70986b27564&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_92a7f043&cb=1517723117567&jobListingId=1706463015"
