"Name","Company","State","City","Salary","Location","Url"
"Data Analyst Intern","Western Alliance Bank","AZ","Phoenix","$36k-$62k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4008&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1689cd4f&cb=1517723065679&jobListingId=2648854176"
"Data Analyst","Tech Finders","AZ","Scottsdale","$43k-$73k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=85058&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_21739edb&cb=1517723065682&jobListingId=2640031586"
"Data Analyst II","Insight Enterprises, Inc.","AZ","Phoenix","$43k-$75k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=226774&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_60a471c6&cb=1517723065684&jobListingId=2648732995"
"Data Analyst","Axelon, Inc.","AZ","Phoenix","","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=136681&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d66fc23f&cb=1517723065686&jobListingId=2601715873"
"Data Analyst","Enormous Enterprise LLC","AZ","Phoenix","","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=50256&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c8e41d71&cb=1517723065688&jobListingId=2635514820"
"Data Analyst","Dignity Health","AZ","Phoenix","$52k-$86k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4008&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_752050ee&cb=1517723065689&jobListingId=2596913937"
"Senior Data Analyst, Regulatory Affairs","Advisor Group","AZ","Phoenix","$71k-$88k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=312045&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1fa496f7&cb=1517723065691&jobListingId=2560239726"
"Data Analyst, Growth and Operations","Infusionsoft","AZ","Phoenix","$45k-$78k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=8095&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e79bd7f3&cb=1517723065693&jobListingId=2650535899"
"Data Analyst","Canyon State Credit Union","AZ","Phoenix","","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4342&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a422d1c1&cb=1517723065694&jobListingId=2633665811"
"Data Analyst","Intersys","AZ","Scottsdale","$43k-$74k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=52448&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f827c607&cb=1517723065695&jobListingId=2647230064"
"Operational Data Analyst","CVS Health","AZ","Scottsdale","$50k-$81k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=297567&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_864ab315&cb=1517723065697&jobListingId=2650315879"
"Data Analyst","HeadFarmer  NEW","AZ","Scottsdale","","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6441129&cb=1517723065699&jobListingId=2653654187"
"EIM - Data Analyst","PetSmart","AZ","Phoenix","$51k-$88k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=132991&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d1ecfdd&cb=1517723065704&jobListingId=2628784154"
"Data Analyst","V.L.S. Systems","AZ","Phoenix","$44k-$75k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4120&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b3c81bf&cb=1517723065705&jobListingId=2653228552"
"Sr Data Analyst","American Express","AZ","Phoenix","$65k-$107k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=132945&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f9ea465&cb=1517723065706&jobListingId=2650163895"
"Data Analyst","Accountemps","AZ","Scottsdale","","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133516&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_64fbcbc6&cb=1517723065707&jobListingId=2645946019"
"Data Analyst, Entry Level (Graduate Degree)","PayPal","AZ","Scottsdale","$66k-$82k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=199837&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7cabcf95&cb=1517723065709&jobListingId=2524274527"
"Data Analyst","Vanguard","AZ","Scottsdale","$52k-$66k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=133620&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9638f755&cb=1517723065710&jobListingId=2630690880"
"Data Analyst Lead","Insight Enterprises, Inc.","AZ","Phoenix","$54k-$92k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=226774&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3a92ae2&cb=1517723065711&jobListingId=2644874829"
"Data Analyst - Transplant Center - Part-Time","Mayo Foundation","AZ","Phoenix","$49k-$80k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=37049&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab8745fa&cb=1517723065712&jobListingId=2649993139"
"Data Analyst I","Insight Enterprises, Inc.","AZ","Tempe","$41k-$71k","Tempe, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=226774&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f1fc126&cb=1517723065713&jobListingId=2637844340"
"Data Analyst- Contractor","Shutterfly","AZ","Tempe","$41k-$70k","Tempe, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=206790&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e4b7ef41&cb=1517723065762&jobListingId=2436952318"
"Data Analyst","Arizona State University","AZ","Tempe","$31k-$54k","Tempe, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=136647&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7704b56&cb=1517723065764&jobListingId=2653555928"
"Data Analyst in Phoenix, AZ (Full Time)","Enormous Enterprise LLC","AZ","Phoenix","","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=50256&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cace0305&cb=1517723065765&jobListingId=2635515128"
"Data Analyst","Advantage Resourcing  NEW","AZ","Chandler","","Chandler, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=173355&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_177ffb49&cb=1517723065767&jobListingId=2654184264"
"Data Analytics Analyst","JDA Software Group, Inc.","AZ","Scottsdale","$81k-$135k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4011&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9dd9e032&cb=1517723065768&jobListingId=2626122723"
"Information Security Analyst-Data Governance Technology","Charles Schwab","AZ","Phoenix","$62k-$97k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=132944&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d7f03a0a&cb=1517723065770&jobListingId=2629239450"
"Data Analyst","Spear Education","AZ","Scottsdale","$37k-$63k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b89e1962&cb=1517723065771&jobListingId=2625915444"
"Senior Analyst Data Governance","Republic Services","AZ","Scottsdale","$69k-$116k","Scottsdale, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=297290&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c5607033&cb=1517723065773&jobListingId=2599278601"
"Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel","Maine Pointe","AZ","Phoenix","$48k-$82k","Phoenix, AZ","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=280505&s=58&guid=000001615f581aa8b580254d803170c1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c9053be2&cb=1517723065774&jobListingId=2504953037"
