"Name","Company","State","City","Salary","Location","Url"
"Data Analyst - GetApp","Gartner  HOT","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=293297&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bda37c33&cb=1517723187223&jobListingId=2572060335"
"Data Analyst","InnerWorkings","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133016&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f3333e1&cb=1517723187224&jobListingId=2604463261"
"Analyst - Operational/Obs/Data","IQVIA  NEW","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=137342&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_065c5b1b&cb=1517723187225&jobListingId=2583603198"
"Fraud & Recovery Data Analyst","eDreams ODIGEO  NEW","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=186496&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b34a9d4&cb=1517723187226&jobListingId=2654006215"
"Sr. Analyst, Data Science & Analytics, Mid-Market EMEA","Criteo","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=235012&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd8b9740&cb=1517723187227&jobListingId=2618168768"
"Data Analyst - Digital Media","Reflex Affiliates","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=66506&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cee2d2b7&cb=1517723187228&jobListingId=2631093079"
"Quality Analyst, VentureSource Data","Dow Jones","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=135398&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ae7886df&cb=1517723187229&jobListingId=2633034454"
"UX Data Analyst","eDreams ODIGEO","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b68cf8b5&cb=1517723187230&jobListingId=2562983941"
"Data Analyst (Central Vendor Reporting)","TECH DATA ESPAA","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=37049&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b9904e08&cb=1517723187231&jobListingId=2639478519"
"Data Analyst Consultant","Bala Egua Abogados Economistas","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=213118&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2ac6666b&cb=1517723187232&jobListingId=2541202394"
"Quality Analyst, VentureSource Data","Dow Jones","","Barcelona","","Barcelona","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=135398&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59429a93&cb=1517723187233&jobListingId=2633033629"
"Yacht Data Analyst & Coordinator","The Jotun Group | Jotun  NEW","","Castellbisbal","","Castellbisbal","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=213118&s=58&guid=000001615f59f748b6f9ece65a8498e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_41d58d2c&cb=1517723187234&jobListingId=2514244327"
