"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Raybeam  NEW","CA","Mountain View","","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=302055&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eecf219c&cb=1517723172899&jobListingId=2628423044"
"Data Analyst","HH Global","CA","Mountain View","$62k-$105k","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=312302&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_35db0664&cb=1517723172900&jobListingId=2608377920"
"Data Analyst","Maxim Integrated Products","CA","San Jose","$63k-$106k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=173064&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4839c464&cb=1517723172901&jobListingId=2653543632"
"Data Quality and Support Analyst","Trianz","CA","San Jose","$61k-$88k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=307780&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6b9c366&cb=1517723172903&jobListingId=2648955989"
"Data Analyst","Signifyd  NEW","CA","San Jose","","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_167b0c5d&cb=1517723172904&jobListingId=2626987852"
"Data Analyst","Apple","CA","Santa Clara","$68k-$114k","Santa Clara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=135079&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3bea7ab8&cb=1517723172906&jobListingId=2648970752"
"Data Analyst","Nytec","CA","Menlo Park","$67k-$113k","Menlo Park, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=263805&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d641b9b7&cb=1517723172907&jobListingId=2622262847"
"Data Analyst","Visa Inc.","CA","Palo Alto","$72k-$121k","Palo Alto, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_51700716&cb=1517723172909&jobListingId=2649058631"
"Data Analyst","Cognate Inc.","CA","San Jose","$48k-$83k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=215203&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8cd37eac&cb=1517723172911&jobListingId=2627198483"
"CDM (Cusomer Data Management) Business Analyst","Trianz","CA","San Jose","$60k-$86k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=307778&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d88dd2e8&cb=1517723172913&jobListingId=2648956015"
"Data Analyst, Entry Level (Graduate Degree)","PayPal","CA","San Jose","$86k-$107k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=199837&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ccdda61e&cb=1517723172916&jobListingId=2524274515"
"Business Analyst, Data Science","zoom","CA","San Jose","$81k-$129k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=78823&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_48ae6dd0&cb=1517723172917&jobListingId=2560560555"
"Data Analyst","80Twenty","CA","Mountain View","","Mountain View, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4323&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7eada04&cb=1517723172918&jobListingId=2644914829"
"Data Analyst Intern","Splunk","CA","San Jose","$61k-$103k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4128&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1c4154e2&cb=1517723172919&jobListingId=2646313771"
"Data Analyst","Rabbit","CA","Redwood City","$75k-$93k","Redwood City, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=000001615f59bdd2832b5865367c0ff2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a39cc1b7&cb=1517723172921&jobListingId=2514055611"
