"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Rosen","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c00f4aa7&cb=1517761520786&jobListingId=2475030654"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=221861&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_28b84661&cb=1517761520788&jobListingId=2645047075"
"Senior Analyst, Master Data Services","Suncor Energy Services  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=215489&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2218be0e&cb=1517761520789&jobListingId=2606746950"
"Test Data Analyst","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=154425&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_08bd3f50&cb=1517761520789&jobListingId=2648904279"
"Data Analyst (Pipeline Inspection)","Baker Hughes GE","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=37049&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_80221971&cb=1517761520791&jobListingId=2645937927"
"Data Analyst - GE Pipeline Inspection","GE Oil & Gas","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133822&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_47fa2381&cb=1517761520792&jobListingId=2641797589"
"Intermediate Data Security Analyst To Work As Part","SI Systems  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=186496&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b83b096&cb=1517761520793&jobListingId=2654043276"
"Data Analyst, Geoscience","Suncor Energy Services","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=215489&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_315993df&cb=1517761520794&jobListingId=2613469717"
"Pipeline Inspection Data Analyst","Onstream Pipeline Inspection Services  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186496&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4c5f69b7&cb=1517761520795&jobListingId=2654043130"
"ProChart Data Quality Analyst","Elevated HR","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=52448&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_edc166fa&cb=1517761520796&jobListingId=2602827252"
"Senior Data Analyst/Developers","Quadrus Development","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_348082d7&cb=1517761520797&jobListingId=2494428589"
"Online Options Trader - Finance, Data, Analyst - Work From Home","Maverick trading","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=136136&s=58&guid=0000016161a2e37282ec68605ec335e8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_48ed0922&cb=1517761520799&jobListingId=1706463015"
