"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Essence","CA","Los Angeles","$59k-$101k","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=265172&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eb532fba&cb=1517723074686&jobListingId=2644209837"
"Data Analyst","Hixme","CA","Los Angeles","","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=301796&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9b3e871a&cb=1517723074688&jobListingId=2638907291"
"Data Analyst, Subscriptions","Grindr","CA","Los Angeles","$52k-$90k","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=288527&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1d39c5d6&cb=1517723074689&jobListingId=2653859588"
"Data Analyst","GOAT","CA","Los Angeles","","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=148364&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee213500&cb=1517723074690&jobListingId=2591589053"
"Data Analyst","Open Listings","CA","Los Angeles","","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=14295&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a432cdf7&cb=1517723074691&jobListingId=2586984463"
"Data Analyst, User Growth","Grindr","CA","Los Angeles","$52k-$90k","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=288527&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_355b0bbe&cb=1517723074693&jobListingId=2653859587"
"Data Analyst","attn:","CA","Los Angeles","$49k-$84k","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=8095&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_709e0d03&cb=1517723074699&jobListingId=2598654234"
"Data Analyst","Creative Alignments  NEW","CA","Los Angeles","","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_107be469&cb=1517723074701&jobListingId=2654080799"
"Data Analyst","Amazon","CA","Manhattan Beach","$44k-$75k","Manhattan Beach, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=133043&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8503116&cb=1517723074701&jobListingId=2648859270"
"Data Analyst, Consumer Insights & Analytics","Netflix","CA","Los Angeles","$104k-$170k","Los Angeles, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=000001615f583c10a7984b9e6efc8686&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7dd432ce&cb=1517723074703&jobListingId=2583405449"
