"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","AdGear","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4341&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cf39c251&cb=1517761539606&jobListingId=2591282128"
"Data Analyst","Seedbox Technologies  HOT","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4128&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee498223&cb=1517761539608&jobListingId=2605865920"
"Data Analyst","MindGeek  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=3949&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6bcf642f&cb=1517761539609&jobListingId=2583044011"
"Data Analyst","Yochana IT Solutions","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=305740&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_809441a5&cb=1517761539609&jobListingId=2649866998"
"Data Analyst","Morneau Shepell","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=3949&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86bc814d&cb=1517761539611&jobListingId=2644205764"
"Data Analyst","McGill University","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_99c6048a&cb=1517761539618&jobListingId=2653615358"
"Data Analyst","Terminal","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=148364&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d1d76faa&cb=1517761539619&jobListingId=2614156836"
"Data Analyst","Kovasys","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d0a1d0ec&cb=1517761539621&jobListingId=2200841398"
"Data Analyst/Analyste de donnes","NestReady","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=66506&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_47380d47&cb=1517761539623&jobListingId=2638134724"
"Data Analyst","Acquisio","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=182897&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d0312a2&cb=1517761539624&jobListingId=2547236359"
"Data Analyst","Exagens","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f7388d46&cb=1517761539626&jobListingId=2547274407"
"Junior Data Analyst","FDM Group","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=135761&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1eadf9f4&cb=1517761539633&jobListingId=2630505360"
"Senior Business Analyst, Integration and Data Services","PSP Investments  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=55774&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8e9bf131&cb=1517761539635&jobListingId=2651042682"
"Analyste de donnes, AQ / QA Data Analyst","Electronic Arts","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=281965&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_910ede6d&cb=1517761539636&jobListingId=2572443108"
"Geomatics Analyst  BIG DATA","Ian Martin Group  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ca6cc7c8&cb=1517761539639&jobListingId=2292565475"
"Data Analyst Intern","Exagens","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4120&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c79015fe&cb=1517761539640&jobListingId=2547274397"
"Senior Data Analyst","MindGeek","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=3949&s=58&guid=0000016161a32d0091a2cbab16ed0314&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8158dff6&cb=1517761539641&jobListingId=2613440733"
