"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","adMarketplace","NY","New York","$43k-$74k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=268347&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_361cf592&cb=1517723000908&jobListingId=2580124206"
"Data Analyst Intern","GrubHub","NY","New York","$58k-$99k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4008&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a1e24a2&cb=1517723000910&jobListingId=2651850062"
"Data Analyst","LIVETILES LIMITED  NEW","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=173064&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bc4e33d9&cb=1517723000911&jobListingId=2653538545"
"Data Analytics Analyst","Tradeweb Markets LLC","NY","New York","$102k-$163k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=305341&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_85970b27&cb=1517723000912&jobListingId=2650184362"
"Data Analyst, Business Intelligence","Telaria","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=271028&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f738d310&cb=1517723000913&jobListingId=2633859406"
"Data Analyst","GrubHub","NY","New York","$56k-$95k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4008&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_15cd62b8&cb=1517723000914&jobListingId=2650481161"
"Data Analyst","Schireson  HOT","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=264460&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1591e76c&cb=1517723000915&jobListingId=2614626340"
"Data Analyst","YouNow","NY","New York","$46k-$78k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=303328&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_09914ff4&cb=1517723000916&jobListingId=2605386838"
"Data Analyst","eVestment","NJ","Jersey City","$52k-$67k","Jersey City, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=295835&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_65c78285&cb=1517723000917&jobListingId=2625378081"
"Senior Data Analyst  Market Insights","Verto Analytics","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=305518&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_435c88c9&cb=1517723000919&jobListingId=2649201221"
"Front-line Data Analyst","Datadog","NY","New York","$65k-$109k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_afca6d33&cb=1517723000920&jobListingId=2649176944"
"Business Data Analyst","Popular Community Bank","NY","New York","$59k-$90k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=300414&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e72c15b8&cb=1517723000922&jobListingId=2626947239"
"Data Analyst","Artsy","NY","New York","$56k-$96k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=8095&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2df29699&cb=1517723000922&jobListingId=2505640258"
"Data Analyst","Aaptiv","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=215203&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a0fe275&cb=1517723000924&jobListingId=2608883704"
"Data Analyst","Bounce Exchange","NY","New York","$50k-$85k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=173064&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a6e0d4a6&cb=1517723000925&jobListingId=2648986314"
"Data Analyst","Walt Disney Company","NY","New York","$56k-$96k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4465&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a61cfdc6&cb=1517723000926&jobListingId=2601592014"
"Data Analyst","Rangam Consultants","NY","Brooklyn","$52k-$89k","Brooklyn, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=304369&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ce6e54cb&cb=1517723000927&jobListingId=2646113586"
"Data Analyst Intern","TelTech Systems  NEW","NJ","South Amboy","","South Amboy, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=46442&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a6d855d&cb=1517723000929&jobListingId=2651189022"
"Data Analyst","PlaceIQ","NY","New York","$50k-$86k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4128&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9051b9b7&cb=1517723000930&jobListingId=1518270873"
"Data Analyst","Crossfire Consulting","NY","New York","$70k-$116k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3039ee33&cb=1517723000931&jobListingId=2650065779"
"Data Analyst - Health Solutions","Weight Watchers International","NY","New York","$53k-$91k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4128&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_87b8a8af&cb=1517723000933&jobListingId=2652088192"
"Data Analyst","MealPal","NY","New York","$59k-$75k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=162026&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc1987eb&cb=1517723000934&jobListingId=2368815928"
"Data Analyst","Peloton Interactive","NY","New York","$81k-$102k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a87643f0&cb=1517723000934&jobListingId=2621581810"
"Data Analyst","TechBridge (UT)","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4120&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_60c136ea&cb=1517723000936&jobListingId=2579472327"
"Data Analyst","Werk  NEW","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=8095&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4229aeb7&cb=1517723000937&jobListingId=2581464926"
"Data Analyst","Econosoft","NY","New York","$55k-$70k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d7b8739d&cb=1517723000938&jobListingId=2615936134"
"Data Analyst","Undertone","NY","New York","$49k-$85k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=264350&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e1ebc33b&cb=1517723000939&jobListingId=2619688331"
"Data Analyst","GroupM","NY","New York","$59k-$100k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=135142&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_99a39b4e&cb=1517723000940&jobListingId=2632180179"
"Data Analyst","Confirmit","NY","New York","$65k-$110k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=46442&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8848a0c3&cb=1517723000941&jobListingId=2651193761"
"Data Analyst","WeWork","NY","New York","$54k-$93k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=133575&s=58&guid=000001615f571ecb88c705e9418935ef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a20265c&cb=1517723000942&jobListingId=2644019586"
