"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Liferay","CA","Diamond Bar","$45k-$58k","Diamond Bar, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4128&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e7f1a314&cb=1517723085034&jobListingId=2551399691"
"Data Analyst","Robert Half Technology","CA","La Habra","$53k-$91k","La Habra, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133516&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_126c3eaf&cb=1517723085035&jobListingId=2653979935"
"Data Analyst","CalOptima","CA","Orange","$46k-$78k","Orange, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4011&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_89dc6062&cb=1517723085036&jobListingId=2634372196"
"Data Analyst","Transdev","CA","Anaheim","$43k-$74k","Anaheim, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=52448&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e136aab0&cb=1517723085037&jobListingId=2654628320"
"Manufacturing Data Analyst","Niagara Bottling","CA","Ontario","$37k-$63k","Ontario, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=134394&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cf2002a7&cb=1517723085038&jobListingId=2628857030"
"Financial Data Analyst","Alignment Healthcare","CA","Orange","$52k-$84k","Orange, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=300846&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_18d507ac&cb=1517723085039&jobListingId=2634029738"
"Data Analyst","HPS","CA","City of Industry","$57k-$94k","City of Industry, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=66506&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd9b7898&cb=1517723085041&jobListingId=2524137484"
"Business Intelligence Data Analyst- College Graduate","Parker Aerospace","CA","Irvine","$61k-$103k","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=6607&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_353e245f&cb=1517723085042&jobListingId=2620401653"
"Marketing Data Analyst","CO-OP Financial Services","CA","Rancho Cucamonga","$44k-$67k","Rancho Cucamonga, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=271008&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa02eb8d&cb=1517723085043&jobListingId=2622865572"
"Data Analyst","Azusa Pacific University","CA","San Dimas","$33k-$56k","San Dimas, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1cbab156&cb=1517723085045&jobListingId=2613789080"
"Healthcare Data Analyst I","Inland Empire Health Plan","CA","Rancho Cucamonga","$60k-$85k","Rancho Cucamonga, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4127&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9d6b819a&cb=1517723085046&jobListingId=2617111593"
"Statistical Data Analyst","SchoolsFirst Federal Credit Union","CA","Tustin","$64k-$90k","Tustin, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=37049&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f5acdec&cb=1517723085047&jobListingId=2652968891"
"Data Analyst","Sprint Store by ArchTelecom","CA","Anaheim","","Anaheim, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4348&s=58&guid=000001615f5867948ed4bde109a0efca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1d7fd2c9&cb=1517723085048&jobListingId=2600266599"
