"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Eagle Professional Resources  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a88ee822&cb=1517761503761&jobListingId=2650711554"
"Lead Data Analyst - Monitoring","Fuze","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=267197&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_72da09ee&cb=1517761503762&jobListingId=2646992699"
"Data Analyst - ETL/SSIS","Precision ERP","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=305740&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f3dcc69&cb=1517761503763&jobListingId=2649869892"
"Research & Data Analyst","Agility PR Solutions","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d4bf1623&cb=1517761503764&jobListingId=2646741675"
"ERP Technical Analyst  Informatica (ETL & Data Quality)","CGI","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133286&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78b1badf&cb=1517761503765&jobListingId=2650457409"
"Business Intelligence Report Developer & Data Analyst","Mitel Networks  HOT","","Kanata","","Kanata","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=280105&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0eaa60ad&cb=1517761503767&jobListingId=2616963185"
"Data Management Analyst","IQVIA","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=137342&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1babb743&cb=1517761503767&jobListingId=2545207478"
"Entry Level Trader - Finance, Data, Analyst, Management - Work Remotely","Maverick trading","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=136136&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bbd3cafe&cb=1517761503768&jobListingId=1723174222"
"ERP Technical Analyst - Informatica (ETL & Data Quality)","CGI  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=65306&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c83116a6&cb=1517761503770&jobListingId=2654518505"
"Co-op ION Procurement Data Analyst","Nokia","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133210&s=58&guid=0000016161a2a0f2ac573d41ce303b8c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3dcf57fe&cb=1517761503770&jobListingId=2638164070"
