"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","STAT Search Analytics","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4341&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_687a349e&cb=1517761513194&jobListingId=2640220012"
"Data Analyst","emergiTEL Inc.","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=58811&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_29eb4dd5&cb=1517761513195&jobListingId=2647122830"
"Data Analyst","Ritchie Bros.","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133422&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2e4f96fb&cb=1517761513197&jobListingId=2638226860"
"Data Analyst","Absolute","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=37049&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d5862568&cb=1517761513198&jobListingId=2647009660"
"Data Analyst","BBTV","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=66506&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f9b8d9b&cb=1517761513199&jobListingId=2647282656"
"Lead Data Analyst","NuData Security","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4341&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cd1f10a8&cb=1517761513200&jobListingId=2610604631"
"Data Analytics Analyst","Ritchie Bros.  NEW","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=295569&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b1575c05&cb=1517761513202&jobListingId=2651944982"
"Business & Data Analyst","University of British Columbia","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4468&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ac12f765&cb=1517761513203&jobListingId=2646289629"
"Costing Data Analyst","lululemon  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=102921&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8304d4c0&cb=1517761513210&jobListingId=2586775484"
"Financial Data Analyst","Ledcor Group","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad328df6&cb=1517761513211&jobListingId=2630931069"
"Data Analyst (Evaluation & Impact Analysis)","MSFHR","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=66506&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86939a9b&cb=1517761513213&jobListingId=2639399998"
"Senior Data Analyst","City of Vancouver","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=55938&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_414829a2&cb=1517761513214&jobListingId=2650023033"
"Research Data Analyst","BC Children's Hospital","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_084cc737&cb=1517761513215&jobListingId=2646352527"
"Senior Data Analyst, Enterprise","Hootsuite","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=8095&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6434b95c&cb=1517761513216&jobListingId=2613748526"
"Senior Survey Data Analyst; Talent, Rewards and Performance [TRP]","Aon","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=176496&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_357a9f19&cb=1517761513218&jobListingId=2625296322"
"Data Analyst, Infection Prevention & Control","Fraser Health","","New Westminster","","New Westminster","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=135035&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7ed85c4c&cb=1517761513219&jobListingId=2619746554"
"Senior Data Analyst","Hootsuite","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=8095&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab3fc0b0&cb=1517761513220&jobListingId=2646287465"
"Health Record Administrator 2 (Data Quality Analyst)","Vancouver Coastal Health","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4008&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_89d53b09&cb=1517761513221&jobListingId=2575797846"
"QA PM- Data Analyst Team- EA Sports (Temporary)","Electronic Arts","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=281965&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81c3196b&cb=1517761513223&jobListingId=2572442198"
"Senior Survey Data Analyst; Talent, Rewards and Performance [TRP] - Vancouver, BC","Aon","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ddb8d0cb&cb=1517761513224&jobListingId=2645001749"
"Research Data Analyst Vancouver, British Columbia Regular,Full-Time 25/01","Provincial Health Services Authority","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee82a168&cb=1517761513225&jobListingId=2646325667"
"Online Options Trader - Finance, Data, Analyst - Work from Home","Maverick trading","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=136136&s=58&guid=0000016161a2c60c8b852cca38dd12f3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_796a4ef2&cb=1517761513227&jobListingId=1706244434"
