"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Unata","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b3a241c3&cb=1517761179078&jobListingId=2572394867"
"Senior Director, Data Science","Loblaw Digital","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=299951&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6ab52a8b&cb=1517761179079&jobListingId=2622524358"
"Data Science Team Lead","Samsung Research America","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=295576&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_198090d5&cb=1517761179080&jobListingId=2546599938"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4341&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1dcbbfd0&cb=1517761179082&jobListingId=2605132515"
"Data Scientist","Canadian Tire Bank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=55774&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_71384d94&cb=1517761179082&jobListingId=2645977140"
"Data Scientist","TalentSphere Staffing Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=58811&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_84cd2d63&cb=1517761179084&jobListingId=2580046281"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=148364&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8b3f08c3&cb=1517761179085&jobListingId=2363878086"
"Data Scientist","Thomson Reuters","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133953&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ac64bf34&cb=1517761179086&jobListingId=2610558972"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=279104&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f13e1969&cb=1517761179087&jobListingId=2580148505"
"Data Scientist / Data Science Engineer","Unata Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=148105&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d231b714&cb=1517761179088&jobListingId=2548305260"
"Data Scientist","PC Financial","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=242900&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_65886073&cb=1517761179089&jobListingId=2643867670"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=269948&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_496f9dea&cb=1517761179091&jobListingId=2564695285"
"DATA SCIENTIST (DIGITAL & DATA SCIENCE)","The Globe and Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=37049&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d258012a&cb=1517761179092&jobListingId=2626050949"
"Data Scientist","First Derivatives","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=135979&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8ea1a450&cb=1517761179093&jobListingId=2610484075"
"Data Scientist","Sunnybrook Health Sciences Centre","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e9fe5766&cb=1517761179094&jobListingId=2601422439"
"Data Scientist","LoyaltyOne","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=295803&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5dd7da04&cb=1517761179095&jobListingId=2650155261"
"Data Scientist","Decision Resources Group","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=248941&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_878e19c7&cb=1517761179096&jobListingId=2448903696"
"Educator, Data Science","BrainStation  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8db8497c&cb=1517761179098&jobListingId=2653517502"
"Data Scientist","Scotiabank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=137303&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7337950&cb=1517761179098&jobListingId=2645901109"
"Sr. Software Developer, Big Data","Rakuten Kobo Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=308902&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a14f0cc6&cb=1517761179104&jobListingId=2569999249"
"Data Scientist","Myant","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4341&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f9c8d540&cb=1517761179106&jobListingId=2572381389"
"Digital Data Analyst (Digital and Data Science)","The Globe & Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=102921&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2666f6de&cb=1517761179107&jobListingId=2542361282"
"Data Scientist","Investment Industry Regulatory Organization of Canada  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=3949&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2100f9ed&cb=1517761179109&jobListingId=2651494430"
"AVP Data Sciences - Enterprise Analytics","Aviva","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=242900&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86e4ffcc&cb=1517761179109&jobListingId=2634859562"
"Data Scientist","Dealer-FX","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4008&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e498ce51&cb=1517761179111&jobListingId=2645412178"
"Data Scientist","FreshBooks  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=303798&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2d93b16a&cb=1517761179112&jobListingId=2602162136"
"Data Scientist","Firmex  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=66506&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_09212f3a&cb=1517761179113&jobListingId=2627239128"
"Data Engineer","Precima","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=292858&s=58&guid=00000161619dac9aa8caae5f9ce495a7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72a5fb6a&cb=1517761179114&jobListingId=2648854993"
