"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Telus","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=55774&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e7e9d353&cb=1517760455878&jobListingId=2629367347"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=221861&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_84600438&cb=1517760455879&jobListingId=2645047075"
"Senior Building Science Engineer","Williams Engineering","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4008&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e355a45&cb=1517760455880&jobListingId=2579895522"
"Bioinformatician, Biological Sciences, Faculty of Science","The University of Calgary","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=6607&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5050d130&cb=1517760455881&jobListingId=2645016473"
"Data Scientist - Big Data","Farmers Edge","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=136505&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dbe00ea9&cb=1517760455883&jobListingId=2637559160"
"Marketing Science Lead","Critical Mass","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=8095&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_359e12c9&cb=1517760455884&jobListingId=2558993670"
"Project Manager Building Sciences","Direct IT Recruiting Inc.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=305740&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9aeda518&cb=1517760455885&jobListingId=2649870166"
"Data Developer","LoyaltyOne","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133524&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d560bf00&cb=1517760455886&jobListingId=2569424448"
"Marketing Science Analyst","Critical Mass","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=8095&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b347a00f&cb=1517760455887&jobListingId=2551718426"
"HR Systems & Data Management Manager","TransCanada","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=55938&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_880d0fb8&cb=1517760455889&jobListingId=2650018993"
"Medical Science Liaison - AB/BC","Sanofi","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=37049&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_83390213&cb=1517760455890&jobListingId=2575415777"
"Medical Science Liaison - AB/BC","Sanofi U.S.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=134709&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f44d65f&cb=1517760455891&jobListingId=2574281299"
"Test Data Analyst","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=154425&s=58&guid=000001616192a35287c13ce57ae24e8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_01bfc18f&cb=1517760455893&jobListingId=2648904279"
