"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Unata","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_68402223&cb=1517761261430&jobListingId=2572394867"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4341&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4b85ac53&cb=1517761261432&jobListingId=2605132515"
"Senior Director, Data Science","Loblaw Digital","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=299951&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd7fdfc8&cb=1517761261432&jobListingId=2622524358"
"Data Science Team Lead","Samsung Research America","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=295576&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_03e615f5&cb=1517761261433&jobListingId=2546599938"
"Data Scientist","Canadian Tire Bank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=55774&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aada2e74&cb=1517761261435&jobListingId=2645977140"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=148364&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1cf5fd80&cb=1517761261436&jobListingId=2363878086"
"Data Scientist","TalentSphere Staffing Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=58811&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1307d820&cb=1517761261437&jobListingId=2580046281"
"Data Scientist","Rogers Communications","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133830&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b2f604b&cb=1517761261439&jobListingId=2647173993"
"Data Scientist","Thomson Reuters","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=133953&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3bae4a77&cb=1517761261441&jobListingId=2610558972"
"Data Scientist","PC Financial","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=242900&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f2429530&cb=1517761261447&jobListingId=2643867670"
"Data Scientist / Data Science Engineer","Unata Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=148105&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_45fb4257&cb=1517761261449&jobListingId=2548305260"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=269948&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_928dfe0a&cb=1517761261452&jobListingId=2564695285"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=279104&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_30859b4f&cb=1517761261453&jobListingId=2580148505"
"Business Data Analyst","Shared Services West","","Oakville","","Oakville","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=277972&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4069d3a0&cb=1517761261455&jobListingId=2628698226"
"Data Scientist","First Derivatives","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=135979&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_196b5113&cb=1517761261456&jobListingId=2610484075"
"Data Scientist","LoyaltyOne","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=295803&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8635b9e4&cb=1517761261458&jobListingId=2650155261"
"DATA SCIENTIST (DIGITAL & DATA SCIENCE)","The Globe and Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=37049&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa11a929&cb=1517761261460&jobListingId=2626050949"
"Data Scientist","Sunnybrook Health Sciences Centre","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d9f69c6&cb=1517761261462&jobListingId=2601422439"
"Data Scientist","Decision Resources Group","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=248941&s=58&guid=00000161619eedf785193f19b33c5111&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_853a27bb&cb=1517761261463&jobListingId=2448903696"
