"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Telus","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=55774&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a52d8194&cb=1517760516879&jobListingId=2629367347"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=221861&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c6a456ff&cb=1517760516881&jobListingId=2645047075"
"Bioinformatician, Biological Sciences, Faculty of Science","The University of Calgary","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=6607&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d3106537&cb=1517760516882&jobListingId=2645016473"
"Senior Building Science Engineer","Williams Engineering","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4008&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd75ee42&cb=1517760516883&jobListingId=2579895522"
"Marketing Science Lead","Critical Mass","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=8095&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e2248b31&cb=1517760516884&jobListingId=2558993670"
"Data Scientist - Big Data","Farmers Edge","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=136505&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0c5a9751&cb=1517760516885&jobListingId=2637559160"
"Project Manager Building Sciences","Direct IT Recruiting Inc.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=305740&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d829f7df&cb=1517760516887&jobListingId=2649870166"
"Data Developer","LoyaltyOne","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133524&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_97a4edc7&cb=1517760516888&jobListingId=2569424448"
"HR Systems & Data Management Manager","TransCanada","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=55938&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5fb79640&cb=1517760516889&jobListingId=2650018993"
"Medical Science Liaison - AB/BC","Sanofi","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=37049&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8dd5c677&cb=1517760516890&jobListingId=2575415777"
"Marketing Science Analyst","Critical Mass","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=8095&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_28d5af54&cb=1517760516898&jobListingId=2551718426"
"Medical Science Liaison - AB/BC","Sanofi U.S.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=134709&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3d808498&cb=1517760516900&jobListingId=2574281299"
"Test Data Analyst","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=154425&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_437b9348&cb=1517760516901&jobListingId=2648904279"
"Specialist, Fundraising Analytics, Development Data, Development and Alumni Engagement","The University of Calgary","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=6607&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_49783184&cb=1517760516903&jobListingId=2649453590"
"Co-op Student, Computer Science","Suncor","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=133252&s=58&guid=00000161619391ce8c8b2233df67fd78&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5fca9fd4&cb=1517760516904&jobListingId=2632191435"
