"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Sitecore","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=311707&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_8e4ccaa2&cb=1517760542694&jobListingId=2493927078"
"Senior Director, Data Science","Loblaw Digital","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=299951&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_44bb19af&cb=1517760542696&jobListingId=2622524358"
"Data Science Manager // Gestionnaire de la science des donnes","SSENSE","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=309831&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_a9410860&cb=1517760542697&jobListingId=2595138457"
"Data Scientist","Unata","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_857ec9bb&cb=1517760542698&jobListingId=2572394867"
"Director, Data Science","Sun Life Financial","","Waterloo","","Waterloo","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=185401&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_f12e300c&cb=1517760542699&jobListingId=2649286196"
"Data Scientist","Government of Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f32db89&cb=1517760542701&jobListingId=2581271889"
"Bilingual Data and Information Manager","Canada Mortgage and Housing Corporation  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=202667&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_4740f801&cb=1517760542702&jobListingId=2583753490"
"Data Science Team Lead","Samsung Research America","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=295576&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_05a18ed2&cb=1517760542703&jobListingId=2546599938"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4341&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8c46d1b4&cb=1517760542704&jobListingId=2605132515"
"Data Scientist","Canadian Tire Bank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=55774&s=58&guid=000001616193f6c48b957386eed32a73&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cs=1_39e37e6c&cb=1517760542705&jobListingId=2645977140"
