"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","TEEMA","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=9619&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7b616cbe&cb=1517760508667&jobListingId=2612244306"
"Data Center Specialist","Distributel","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=312077&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8bfed01e&cb=1517760508669&jobListingId=2646991843"
"Data-Analytics","Vantix Systems  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf72da76&cb=1517760508670&jobListingId=2537849377"
"Public Services Librarian, Health Sciences Library (Sessional)","University of Alberta","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_47577c90&cb=1517760508671&jobListingId=2649058069"
"Engineering Director, Building Science","Williams Engineering","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4008&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_56963af0&cb=1517760508672&jobListingId=2601432306"
"Student Opportunity, Financial Data Analyst","ATB Financial","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=154425&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ddb1e914&cb=1517760508673&jobListingId=2638078688"
"Building Science Consultant","Morrison Hershfield","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4008&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_529a14ba&cb=1517760508674&jobListingId=2497469577"
"Teacher Relations Analyst (compensation and Data","Government of Alberta  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=186496&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7873534&cb=1517760508675&jobListingId=2654043684"
"Cards and Payments Data Scientist","Servus Credit Union  HOT","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=137496&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_285af5e2&cb=1517760508676&jobListingId=2634096897"
"Data Scientist - Machine Learning Specialist","Granify","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=66506&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0eb9fcd&cb=1517760508677&jobListingId=2617386676"
"Sales & Marketing Data Analyst","Canadian Western Bank","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=148256&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a68b8415&cb=1517760508678&jobListingId=2637711896"
"Senior Data Engineer","Granify","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=66506&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6f21369&cb=1517760508679&jobListingId=2617386224"
"Service Architect/Data Scientist - Optik TV Service Development","TELUS","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=102921&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_10d2607d&cb=1517760508680&jobListingId=2613110686"
"Data-Analyst","Vantix Systems  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4120&s=58&guid=00000161619371ddb24f11b1821283c8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a773616a&cb=1517760508682&jobListingId=2606667714"
