"Name","Company","State","City","Salary","Location","Url"
"Technical Team Lead  Data Science","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cb518cef&cb=1517760573889&jobListingId=2553967475"
"Medical Science Liaison Atlantic","Sanofi","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=37049&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2023e6ef&cb=1517760573891&jobListingId=2575391833"
"Medical Science Liaison Atlantic","Sanofi U.S.","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=134709&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_898baf54&cb=1517760573892&jobListingId=2574280969"
"Intermediate/Senior Software Developer - Data Streaming","Gracenote  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=133595&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2426116a&cb=1517760573894&jobListingId=2653624078"
"Senior Data Analyst","Pepper","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=93842&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22270d36&cb=1517760573894&jobListingId=2648467175"
"Senior Data Developer","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4b0c24e0&cb=1517760573896&jobListingId=2535234273"
"Data Scientist/Engineer","Widger Talent LLC","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=14295&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d71ba559&cb=1517760573897&jobListingId=2480683113"
"Research Data Specialist Analyst, Research Services","Nova Scotia Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_51bffe03&cb=1517760573898&jobListingId=2646111641"
"Research Data Specialist Analyst, Research Services","Capital District Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4332cd1b&cb=1517760573905&jobListingId=2646213512"
"Data Center Operations Manager","SimplyCast","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f84c9664&cb=1517760573906&jobListingId=2641364259"
"STUDENTS: Geoscience Field, GIS Data, Lab/Office and Research Assistants","Government of Canada  NEW","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8285e42a&cb=1517760573908&jobListingId=2652282108"
"Entry Level Trader - Finance, Data, Analyst, Management - Work Remotely","Maverick trading  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=136136&s=58&guid=0000016161947028b60086a0e1c54b47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2f82bfc8&cb=1517760573909&jobListingId=1723211346"
