"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Unata","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cd09793b&cb=1517761221284&jobListingId=2572394867"
"Senior Director, Data Science","Loblaw Digital","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=299951&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_141e1273&cb=1517761221285&jobListingId=2622524358"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4341&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a2e461e8&cb=1517761221286&jobListingId=2605132515"
"Data Science Team Lead","Samsung Research America","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=295576&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a6af4eed&cb=1517761221287&jobListingId=2546599938"
"Data Scientist","Canadian Tire Bank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=55774&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f93756c&cb=1517761221288&jobListingId=2645977140"
"Data Scientist","TalentSphere Staffing Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=58811&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fa66159b&cb=1517761221290&jobListingId=2580046281"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=148364&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f594303b&cb=1517761221291&jobListingId=2363878086"
"Data Scientist","Thomson Reuters","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133953&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d2cf87cc&cb=1517761221292&jobListingId=2610558972"
"Data Scientist / Data Science Engineer","Unata Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=148105&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39e444d3&cb=1517761221293&jobListingId=2548305260"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=279104&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1aebeaae&cb=1517761221295&jobListingId=2580148505"
"Business Data Analyst","Shared Services West","","Oakville","","Oakville","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=277972&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b351ffdd&cb=1517761221296&jobListingId=2628698226"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=269948&s=58&guid=00000161619e517489ad18423dc12067&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_37c4a512&cb=1517761221297&jobListingId=2564695285"
