"Name","Company","State","City","Salary","Location","Url"
"Data Science Manager // Gestionnaire de la science des donnes","SSENSE","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=309831&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a312df6d&cb=1517760423125&jobListingId=2595138457"
"Data Analyst Intern","Exagens","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_37141797&cb=1517760423127&jobListingId=2547274397"
"Data Analyst","Seedbox Technologies  HOT","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4128&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c510874c&cb=1517760423127&jobListingId=2605865920"
"Big Data Scientist","Calliere Group","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_deb95094&cb=1517760423128&jobListingId=1128380143"
"Data Scientist","B.Yond","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4134&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c91a6a23&cb=1517760423130&jobListingId=2638834872"
"Data Scientist","Telus","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=55774&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_625013f8&cb=1517760423131&jobListingId=2629367348"
"Manager, Data Analytics - Data Science/AI/Machine Learning","Verticalmove","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4470&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1803bdf3&cb=1517760423133&jobListingId=2578055257"
"Senior Consultant  Data Analytics","EY","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=102921&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b32f09d2&cb=1517760423134&jobListingId=2470616736"
"Data Scientist","Calliere Group","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d76e4e53&cb=1517760423136&jobListingId=1128378493"
"Director of Data Science // Directeur de la science des donnes","SSENSE","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=136840&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_25044dd6&cb=1517760423137&jobListingId=2496059594"
"Data Scientist","Shutterstock","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=135887&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f31ade8&cb=1517760423138&jobListingId=2644207305"
"Back-End Developer (Java) - Big Data","Lightspeed","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=240864&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7af0176e&cb=1517760423139&jobListingId=2645568343"
"Data Analyst","Kovasys","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e1a13445&cb=1517760423140&jobListingId=2200841398"
"Advanced Analyst, Data Science, Business Intelligence","Bell Canada","","Dorval","","Dorval","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=55938&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b0712c7&cb=1517760423142&jobListingId=2649168432"
"Data Analyst","McGill University","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5b6d2bc0&cb=1517760423143&jobListingId=2653615358"
"Data Scientist","ADT Security Services  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=37049&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6659b417&cb=1517760423143&jobListingId=2653173526"
"Sr. Data Scientist","B.Yond","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4134&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_30dc4861&cb=1517760423144&jobListingId=2653165411"
"Principal Data Engineer","Upgrade  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=85944&s=58&guid=000001616192235c8b22f2fa00949b6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_286c839e&cb=1517760423145&jobListingId=2629000391"
