"Name","Company","State","City","Salary","Location","Url"
"Data Science Consultant","Slalom LLC.","CA","Orange","","Orange, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=133063&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_780a355b&cb=1517760433407&jobListingId=2526322563"
"Data Sciences Manager","Capital Group","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=215489&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b91a392d&cb=1517760433408&jobListingId=2588886391"
"Financial Data Analyst","Alignment Healthcare","CA","Orange","$52k-$84k","Orange, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=300846&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4ebef70c&cb=1517760433409&jobListingId=2634029738"
"Data Science Advisor - Energy Procurement","Southern California Edison  NEW","CA","Rosemead","","Rosemead, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=176700&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_01ca070b&cb=1517760433411&jobListingId=2608302290"
"Data Science Advisor - Energy Procurement","Edison International  NEW","CA","Rosemead","","Rosemead, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=176700&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f4ccf95f&cb=1517760433412&jobListingId=2608302248"
"Marketing Data Analyst","CO-OP Financial Services","CA","Rancho Cucamonga","$44k-$67k","Rancho Cucamonga, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=271008&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d26ea0ad&cb=1517760433413&jobListingId=2622865572"
"Education/Library Science","California State University  NEW","CA","Pomona","","Pomona, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_990a61c7&cb=1517760433414&jobListingId=2560433180"
"Data Center Architect","Insight Enterprises, Inc.","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=94416&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_50376357&cb=1517760433415&jobListingId=2644874843"
"Data Warehouse Developer","KORE1 Technologies","CA","Rancho Cucamonga","","Rancho Cucamonga, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4322&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_288f9570&cb=1517760433416&jobListingId=2547709206"
"Data Mining Engineer","Aviana Global Technologies  NEW","CA","Brea","","Brea, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016161924b34b91c3baaf137173f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fdd479cf&cb=1517760433417&jobListingId=2583784073"
