"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Sitecore  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=311707&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e909d992&cb=1517761190059&jobListingId=2493927078"
"Data Scientist","Government of Canada  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c8de546&cb=1517761190060&jobListingId=2581271889"
"Bilingual Data and Information Manager","Canada Mortgage and Housing Corporation  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=202667&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74ffc6ce&cb=1517761190060&jobListingId=2583753490"
"Python Developer - AI / Data Science","High Tech Genesis","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5f41ca5a&cb=1517761190061&jobListingId=2604636235"
"**Summer 2018** Data Scientist Internship","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b206b668&cb=1517761190062&jobListingId=2599591318"
"Data and Information Governance Specialist","Canada Mortgage and Housing Corporation","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=202670&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78782a74&cb=1517761190063&jobListingId=2554123351"
"Data Scientist: Advanced Analytics","IBM","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=140152&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5cf56d59&cb=1517761190064&jobListingId=2615342413"
"Technical Team Lead  Data Science","Lixar IT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6e678631&cb=1517761190066&jobListingId=2553967469"
"Business Intelligence Report Developer & Data Analyst","Mitel Networks","","Kanata","","Kanata","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=280105&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc15e637&cb=1517761190067&jobListingId=2616963185"
"Big Data Developer","QSI Inc.","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=00000161619dd754987e841ff3644f47&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_463f1074&cb=1517761190068&jobListingId=2476658345"
