"Name","Company","State","City","Salary","Location","Url"
"Data Science Team Lead","Samsung Research America","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=295576&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5439a5e8&cb=1517760382327&jobListingId=2546599938"
"Senior Director, Data Science","Loblaw Digital","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=299951&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fe5a422a&cb=1517760382329&jobListingId=2622524358"
"Data Scientist","Unata","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fe1b74fe&cb=1517760382330&jobListingId=2572394867"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4341&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8924d771&cb=1517760382331&jobListingId=2605132515"
"Data Scientist","Canadian Tire Bank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=55774&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e5d72535&cb=1517760382332&jobListingId=2645977140"
"Data Scientist / Data Science Engineer","Unata Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=148105&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b5751456&cb=1517760382333&jobListingId=2548305260"
"Data Scientist","Thomson Reuters","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=133953&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5e5ed749&cb=1517760382335&jobListingId=2610558972"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=148364&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_790560be&cb=1517760382336&jobListingId=2363878086"
"Data Scientist","PC Financial","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=242900&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2831554e&cb=1517760382337&jobListingId=2643867670"
"Data Scientist","First Derivatives","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=135979&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_00172d37&cb=1517760382338&jobListingId=2610484075"
"Data Scientist","TalentSphere Staffing Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=58811&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_afa11882&cb=1517760382339&jobListingId=2580046281"
"Data Scientist","Decision Resources Group","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=248941&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ace22c26&cb=1517760382340&jobListingId=2448903696"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=269948&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_91a863e8&cb=1517760382342&jobListingId=2564695285"
"Educator, Data Science","BrainStation  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4120&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eafcea3e&cb=1517760382344&jobListingId=2653517502"
"Digital Data Analyst (Digital and Data Science)","The Globe & Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=102921&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59f0eec0&cb=1517760382345&jobListingId=2542361282"
"DATA SCIENTIST (DIGITAL & DATA SCIENCE)","The Globe and Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=37049&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f93434cb&cb=1517760382346&jobListingId=2626050949"
"Data Scientist","Myant","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4341&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_39dd901e&cb=1517760382347&jobListingId=2572381389"
"Sr. Software Developer, Big Data","Rakuten Kobo Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=308902&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b80c1404&cb=1517760382349&jobListingId=2569999249"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=279104&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_55750671&cb=1517760382350&jobListingId=2580148505"
"Data Scientist","LoyaltyOne","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=295803&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9dc29f5a&cb=1517760382351&jobListingId=2650155261"
"Data Scientist","Sunnybrook Health Sciences Centre","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_03168447&cb=1517760382352&jobListingId=2601422439"
"AVP Data Sciences - Enterprise Analytics","Aviva","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=242900&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_38f60112&cb=1517760382353&jobListingId=2634859562"
"Data Scientist","Scotiabank","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=137303&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_07263c0e&cb=1517760382355&jobListingId=2645901109"
"Director, Data Science","BBG Management","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=140103&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7abb9e1&cb=1517760382356&jobListingId=1995453598"
"BIG DATA ENGINEER (DIGITAL & DATA SCIENCE)","The Globe and Mail","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=37049&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5d29a5f5&cb=1517760382357&jobListingId=2637830553"
"Director, Data Science","Rogers Communications","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=215489&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a26681a5&cb=1517760382359&jobListingId=2592360558"
"Data Science Analyst - Canadian Tire","Store Support & Operations  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=102921&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ebaa48a9&cb=1517760382361&jobListingId=2653223177"
"Senior Manager, Data Science & Analytics","Softchoice","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=134128&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3dcf2c87&cb=1517760382361&jobListingId=2614281015"
"Manager, Data Science","Moneris  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=4120&s=58&guid=00000161619183aa86a6a2ebadf75093&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf8ca722&cb=1517760382363&jobListingId=2607603323"
