"Name","Company","State","City","Salary","Location","Url"
"Software Architect - Big Data - Central Technology (Activision","Demonware","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=270709&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_17a503c7&cb=1517761203829&jobListingId=2564333832"
"Data Scientist","Blueocean Market Intelligence  NEW","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_280abe85&cb=1517761203831&jobListingId=2438718362"
"Data Scientist","Amazon","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133043&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7c24c971&cb=1517761203832&jobListingId=2575368673"
"Software Development Engineer (Data)","A Thinking Ape  NEW","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=8095&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7cba57b&cb=1517761203833&jobListingId=2582421458"
"Data Science and Machine Learning Engineering Internship","Splunk","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4128&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1aab45db&cb=1517761203834&jobListingId=2647237667"
"Data Analytics Analyst","Ritchie Bros.  NEW","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=295569&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12e022c2&cb=1517761203835&jobListingId=2651944982"
"Data Architect - Central Technology (Activision","Demonware","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=270709&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_af32d053&cb=1517761203836&jobListingId=2638222850"
"Data Scientist","TELUS  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=102921&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_779dd054&cb=1517761203837&jobListingId=2559100262"
"Director, Data Science, Merchandising","lululemon  NEW","","North Vancouver","","North Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=55774&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_245e6d46&cb=1517761203838&jobListingId=2651042052"
"Sr. Data Engineer - Central Technology (Activision","Demonware","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=270709&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d60d4be3&cb=1517761203839&jobListingId=2639043691"
"Data Scientist","DHI Group","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e5911a57&cb=1517761203841&jobListingId=2649998107"
"MITACS Data Researcher","Mobify","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=148364&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_047ce1b4&cb=1517761203842&jobListingId=2427085236"
"Data Scientist","BOEING  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=133200&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79266a8e&cb=1517761203843&jobListingId=2636642215"
"Data Engineer I","Amazon","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=299661&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1596d8ad&cb=1517761203844&jobListingId=2492654834"
"Data Scientist","Finning","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=242900&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ae8e8cb9&cb=1517761203846&jobListingId=2646275342"
"Data Engineer","xMatters","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4120&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_30e55708&cb=1517761203847&jobListingId=2617189112"
"Data Engineer","IUGO Mobile Entertainment  NEW","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=306979&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f618162&cb=1517761203848&jobListingId=2653992306"
"Data Scientist","Splunk","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4128&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e14fcf02&cb=1517761203849&jobListingId=2576570396"
"Data Analyst","STAT Search Analytics","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4341&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_10104d5f&cb=1517761203850&jobListingId=2640220012"
"Data Scientist","AeroInfo Systems","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=186603&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_92993446&cb=1517761203851&jobListingId=2635085189"
"Mitacs Intern Machine Learning Researcher / Data Scientist","1QBit","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=8095&s=58&guid=00000161619e0d28a36086095eff4f8a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a50ba538&cb=1517761203853&jobListingId=2598654544"
