"Name","Company","State","City","Salary","Location","Url"
"ADMINISTRATION","Pharmascience","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=312517&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c5d2972e&cb=1517777824386&jobListingId=2651114614"
"Data Analyst","Mindshare","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4134&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_75bdf42c&cb=1517777824386&jobListingId=2646162092"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=279104&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0256f7eb&cb=1517777824388&jobListingId=2580148505"
"Data Architect","Borden Ladner Gervais LLP","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=279501&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2e412ce0&cb=1517777824389&jobListingId=2639258007"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4341&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_dc8c7c71&cb=1517777824390&jobListingId=2605132515"
"Data Engineer","Wave  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=295595&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7f757526&cb=1517777824391&jobListingId=2651160449"
"Business Data Analyst","Shared Services West","","Oakville","","Oakville","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=277972&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b33e59c4&cb=1517777824392&jobListingId=2628698226"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=269948&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_de59292e&cb=1517777824398&jobListingId=2564695285"
"Data Analyst","CIBC World Markets","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=102921&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b6717f94&cb=1517777824399&jobListingId=2646863262"
"Data Scientist","Scribd","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=8095&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9cc6b89b&cb=1517777824401&jobListingId=2604596820"
"Data Scientist","FreshBooks  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=303798&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a277bef2&cb=1517777824403&jobListingId=2602162136"
"Account Specialist,","DATA Communications Management","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=269818&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3a631e45&cb=1517777824404&jobListingId=2594588742"
"Data Engineer","Precima","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=292858&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_68964b73&cb=1517777824406&jobListingId=2648854993"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=136208&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bf8472ae&cb=1517777824408&jobListingId=2363793138"
"Sr. Software Developer, Big Data","Rakuten Kobo Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=308902&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1e0f74e7&cb=1517777824409&jobListingId=2569999249"
"Label Press Operator,","DATA Communications Management  NEW","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=269817&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ef43860e&cb=1517777824412&jobListingId=2537382382"
"Inside Sales Representative","TradeRev  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=209037&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7013e8c1&cb=1517777824413&jobListingId=2626782273"
"Category Manager","GoFetch  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=283757&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7f3556b6&cb=1517777824414&jobListingId=2653005119"
"Engagement Lead","Vena Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=310975&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b46089d9&cb=1517777824415&jobListingId=2649200757"
"Systems Administrator","Synaptive Medical","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=313922&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_108612c6&cb=1517777824417&jobListingId=2652482278"
"Forms Press Operator,","DATA Communications Management","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=269817&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9c607208&cb=1517777824419&jobListingId=2537382381"
"Data Entry","Mckinsey & Company Canada","","Brampton","","Brampton","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=305594&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a5a362ad&cb=1517777824421&jobListingId=2651396926"
"Data Entry Clerk","Ritzcarlton","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=140609&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6abb4dbf&cb=1517777824422&jobListingId=2247497570"
"Product Analyst","Scribd","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=8095&s=58&guid=00000161629ba901bd26de4ae85a30d9&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ddd1b68a&cb=1517777824424&jobListingId=2604596818"
