"Name","Company","State","City","Salary","Location","Url"
"Inside Sales Representative","TradeRev  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=209037&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_420add92&cb=1517777794061&jobListingId=2626782268"
"Data Entry Operator - Evening Shift in Halifax at Symcor Inc.","Symcor  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=310575&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d6076907&cb=1517777794062&jobListingId=2625613016"
"QC Biological Assay Specialist","Immunovaccine Inc  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=258318&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c7f5699c&cb=1517777794063&jobListingId=2641757514"
"Full Stack Developer","VineView","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=312332&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_eea57139&cb=1517777794064&jobListingId=2650295376"
"Senior Data Developer","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ec5e770a&cb=1517777794065&jobListingId=2535234273"
"Data Entry Operator - Day Shift in Halifax at Symcor Inc.","Symcor  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=310575&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5f8e7f7e&cb=1517777794066&jobListingId=2625613011"
"Data Scientist/Engineer","Widger Talent LLC","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=14295&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_e5373d8c&cb=1517777794067&jobListingId=2480683113"
"Technical Team Lead  Data Science","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_12046485&cb=1517777794068&jobListingId=2553967475"
"Intermediate/Senior Software Developer - Data Streaming","Gracenote  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=133595&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a989d4ff&cb=1517777794070&jobListingId=2653624078"
"Test Data Modeler","CGI","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133286&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_92c80f51&cb=1517777794070&jobListingId=2646764991"
"Senior Data Analyst","Pepper","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=93842&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3af6039c&cb=1517777794072&jobListingId=2648467175"
"Technical Team Lead  Big Data & Analytics","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c89d5392&cb=1517777794073&jobListingId=2553967471"
"Quality Assurance Engineer (Data)","NTT DATA","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=133983&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_10e99fe8&cb=1517777794074&jobListingId=2637945252"
"Payroll Coordinator","ADP  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=138143&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_76e5f1f9&cb=1517777794076&jobListingId=2654876275"
"Research Data Specialist Analyst, Research Services","Nova Scotia Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ecb44c2f&cb=1517777794076&jobListingId=2646111641"
"Technical Data Manager","L3 Technologies","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=102921&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5e29fa7a&cb=1517777794078&jobListingId=2616811322"
"Research Data Specialist Analyst, Research Services","Capital District Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_98ec7feb&cb=1517777794079&jobListingId=2646213512"
"Security Incident Response Analyst - Insider Threat","NTT DATA  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=133983&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_08718cd5&cb=1517777794080&jobListingId=2654985264"
"COS SBS Payroll Coordinator","ADP  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=270691&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_02c329b5&cb=1517777794081&jobListingId=2513269828"
"Data Center Operations Manager","SimplyCast","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ae3e54f7&cb=1517777794082&jobListingId=2641364259"
"Various Clerical and Data Entry Positions","Government of Canada","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3ec7881a&cb=1517777794083&jobListingId=2632855695"
"Senior Lead Developer (Web Technologies)","NTT DATA  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=133983&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_53b645e8&cb=1517777794084&jobListingId=2654985110"
"DATA COLLECTION ASSOCIATE PART TIME","CROSSMARK","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=133173&s=58&guid=00000161629b324c87ad5fa3a1756c8f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bafea533&cb=1517777794085&jobListingId=2649385959"
