"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Mindshare","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4134&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8475fce2&cb=1517777814058&jobListingId=2646162092"
"ADMINISTRATION","Pharmascience","","Mississauga","","Mississauga","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=312517&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cbbc78c3&cb=1517777814060&jobListingId=2651113393"
"Data Architect","Borden Ladner Gervais LLP","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=279501&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8b7309d1&cb=1517777814061&jobListingId=2639258007"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=279104&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a764d2da&cb=1517777814063&jobListingId=2580148505"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4341&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b83abf80&cb=1517777814070&jobListingId=2605132515"
"Data Engineer","Wave  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=295595&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1bc3b6d7&cb=1517777814072&jobListingId=2651160449"
"Business Data Analyst","Shared Services West","","Oakville","","Oakville","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=277972&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d7889a35&cb=1517777814073&jobListingId=2628698226"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=269948&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_baefeadf&cb=1517777814075&jobListingId=2564695285"
"Data Engineer","Precima","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=292858&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_16796944&cb=1517777814076&jobListingId=2648854993"
"Data Scientist","FreshBooks  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=303798&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8ae9eba0&cb=1517777814078&jobListingId=2602162136"
"Data Analyst","CIBC World Markets","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=102921&s=58&guid=00000161629b805e8e00b2a1c59f8efa&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0b91e1f9&cb=1517777814080&jobListingId=2646863262"
