"Name","Company","State","City","Salary","Location","Url"
"OSHAWA Bilingual Customer Care Ambassador","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=288913&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f5c01347&cb=1517777848109&jobListingId=2580726851"
"Data Entry Specialist","OfficeTeam","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133516&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_84c6617b&cb=1517777848111&jobListingId=2649371551"
"Personal Lines Account Manager","HUB International","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=179989&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0b774a23&cb=1517777848112&jobListingId=2625128298"
"IT Project Analyst (3 Month Contract)","Sienna Senior Living  NEW","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=310978&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_daff8a01&cb=1517777848113&jobListingId=2627845879"
"Manager of Inside Sales","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=273853&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5b52e8fe&cb=1517777848114&jobListingId=2606123009"
"Mandarin/Cantonese/English Customer Care Ambassador","Concentrix  NEW","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=288913&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0000a1f4&cb=1517777848115&jobListingId=2627762954"
"Data Scientist","Dealer-FX Group","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=52448&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6ad37896&cb=1517777848116&jobListingId=2646154965"
"Appointment Setter Data Entry","Bnqi","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=83421&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d33332da&cb=1517777848117&jobListingId=2643808660"
"Senior Analyst, Resource Forecasting (contact centre)","Scotiabank","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=288029&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4c733869&cb=1517777848118&jobListingId=2648732965"
"Data Replication Software Developer - Internship","IBM","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=140152&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a8214bdf&cb=1517777848120&jobListingId=2637918631"
"Data Engineer","DMTI Spatial","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7991382c&cb=1517777848121&jobListingId=2597663736"
"Reporting Analyst","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=289485&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fbeb0888&cb=1517777848123&jobListingId=2574469803"
"Senior Analyst, Intraday Management & Reporting","Scotiabank","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=288029&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_182fcaab&cb=1517777848124&jobListingId=2650205912"
"Data Entry Clerk Working At Home Customer Service","Prodigy","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=213118&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_74270466&cb=1517777848125&jobListingId=2647311826"
"OSHAWA Customer Care Ambassador","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=288913&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_30f32fc5&cb=1517777848126&jobListingId=2622403444"
"Junior Data Scientist","FDM Group","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=135761&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_26e3cf53&cb=1517777848127&jobListingId=2646219391"
"Data Entry Clerk","Gamma-Dynacare","","Bowmanville","","Bowmanville","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4008&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a88e43bb&cb=1517777848129&jobListingId=2580773183"
"STUDENT - CUSTOMER SERVICE CLERK","Ontario Public Service","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8a31ca6a&cb=1517777848130&jobListingId=2625377343"
"BUSINESS ANALYST (1)","Ministry of Northern Development and Mines","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4120&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d087d250&cb=1517777848131&jobListingId=2648465146"
"Entry Level Trader - Finance, Data, Analyst, Management - Work Remotely","Maverick trading","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=136136&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2f31668b&cb=1517777848133&jobListingId=1723212762"
"Bilingual Sales Specialist ( Remote), MS","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=289485&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_eae64455&cb=1517777848134&jobListingId=2577883619"
"Data Architect","Dealer-FX Group","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=52448&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2361a970&cb=1517777848135&jobListingId=2589000365"
"Inbound Customer Care Professional","Reliance Home Comfort","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=3949&s=58&guid=00000161629c05a99da986c97fcea434&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8edc764c&cb=1517777848137&jobListingId=2648867020"
