"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Sitecore  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=311707&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e3164222&cb=1517777574905&jobListingId=2493927078"
"Data and Information Governance Specialist","Canada Mortgage and Housing Corporation","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=202670&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_269d9c3b&cb=1517777574906&jobListingId=2554123351"
"ADMINISTRATION","Pharmascience","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=312517&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_27633933&cb=1517777574908&jobListingId=2651112859"
"Data Scientist","Government of Canada  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bb3e0e95&cb=1517777574909&jobListingId=2581271889"
"Controller","Surface Developments","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=271683&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_92057f9b&cb=1517777574910&jobListingId=2648735598"
"Analyst, Integrated eReporting Product Management","CIHI","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=309945&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1e9ca8df&cb=1517777574912&jobListingId=2643329657"
"Bilingual Data and Information Manager","Canada Mortgage and Housing Corporation  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=202667&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2a1a7081&cb=1517777574914&jobListingId=2583753490"
"Support Worker","Spark Inc.  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=278849&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6dcdfa90&cb=1517777574916&jobListingId=2650779870"
"**Summer 2018** Data Scientist Internship","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4bb2e63b&cb=1517777574917&jobListingId=2599591318"
"Lead Data Analyst - Monitoring","Fuze","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=267197&s=58&guid=000001616297da3e8007ecccc906a98f&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7bfef204&cb=1517777574918&jobListingId=2646992699"
