"Name","Company","State","City","Salary","Location","Url"
"Data Analyst","Mindshare","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4134&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_76913653&cb=1517777833400&jobListingId=2646162092"
"Inside Sales Representative","Amico Lights Corporation","","Richmond Hill","","Richmond Hill","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=221140&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9fc86779&cb=1517777833401&jobListingId=2604986848"
"Data Architect","Borden Ladner Gervais LLP","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=279501&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7997c360&cb=1517777833402&jobListingId=2639258007"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=279104&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5580186b&cb=1517777833404&jobListingId=2580148505"
"Product Data Administrator","Pencharz Consulting","","Aurora","","Aurora","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=285692&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c05eac71&cb=1517777833406&jobListingId=2602842884"
"Data Engineer","Wave  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=295595&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e9277c66&cb=1517777833407&jobListingId=2651160449"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4341&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_938828ad&cb=1517777833408&jobListingId=2605132515"
"Data Scientist","Scribd","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=8095&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d3c2ec47&cb=1517777833409&jobListingId=2604596820"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=269948&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0423b6cd&cb=1517777833410&jobListingId=2564695285"
"Data Engineer","Precima","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=292858&s=58&guid=00000161629bcc349b54e011f87a2be5&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_71e368ca&cb=1517777833411&jobListingId=2648854993"
