"Name","Company","State","City","Salary","Location","Url"
"In-Person Interviewer/Data Collection Clerk","R.A. Malatest & Associates","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=279104&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a7162969&cb=1517777564981&jobListingId=2580148505"
"Data Analyst","Mindshare","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4134&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_09ab7732&cb=1517777564983&jobListingId=2646162092"
"Data Architect","Borden Ladner Gervais LLP","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=279501&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_93d3493e&cb=1517777564984&jobListingId=2639258007"
"Data Scientist","ThinkData","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4341&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ecb269cc&cb=1517777564990&jobListingId=2605132515"
"Data Engineer","Wave  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=295595&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_961d3d07&cb=1517777564991&jobListingId=2651160449"
"Data Engineer","Precima","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=292858&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_680c2977&cb=1517777564992&jobListingId=2648854993"
"Data Analyst","FieldEdge","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=269948&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c49aaaec&cb=1517777564993&jobListingId=2564695285"
"Inside Sales Representative","TradeRev  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=209037&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a9dfd759&cb=1517777564994&jobListingId=2626782273"
"Data Scientist","FreshBooks  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=303798&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_07376070&cb=1517777564995&jobListingId=2602162136"
"Sr. Software Developer, Big Data","Rakuten Kobo Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=308902&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3468809c&cb=1517777564995&jobListingId=2569999249"
"Data Scientist","Scribd","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=8095&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_acf8ad26&cb=1517777564996&jobListingId=2604596820"
"Category Manager","GoFetch  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=283757&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_29de43d7&cb=1517777564998&jobListingId=2653005119"
"Data Analyst","CIBC World Markets","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=102921&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d03e1d4c&cb=1517777564998&jobListingId=2646863262"
"Systems Administrator","Synaptive Medical","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=313922&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_12972a58&cb=1517777565000&jobListingId=2652482278"
"Engagement Lead","Vena Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=310975&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3bddc124&cb=1517777565000&jobListingId=2649200757"
"Data Scientist","Wish","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=136208&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e96f67cf&cb=1517777565001&jobListingId=2363793138"
"Systems Administrator","Pharmascience","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=312517&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_cab2ffc4&cb=1517777565002&jobListingId=2651104740"
"Data Management Architect","Exchange Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=304551&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0e49079d&cb=1517777565003&jobListingId=2601517657"
"Senior Java Backend Developer","TradeRev  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=205205&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4db48bbf&cb=1517777565004&jobListingId=2626782266"
"Events Coordinator (7 month contract)","GoFetch  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=292693&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_abf7ab36&cb=1517777565005&jobListingId=2653008104"
"Growth Manager","SnapTravel  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=300529&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7f9893be&cb=1517777565005&jobListingId=2651179624"
"BI Development Analyst","Exchange Solutions","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=304552&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d89b083a&cb=1517777565006&jobListingId=2583762885"
"Sales Executive","Flybits","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=300302&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f7450234&cb=1517777565007&jobListingId=2634348355"
"Operations Associate","Paytm Labs","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=312344&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f455932b&cb=1517777565008&jobListingId=2650317988"
"Data Entry Clerk","Ritzcarlton","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=140609&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3c5058de&cb=1517777565009&jobListingId=2247497570"
"Product Analyst","Scribd","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=8095&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_78916808&cb=1517777565010&jobListingId=2604596818"
"Business Data Analyst","Shared Services West","","Oakville","","Oakville","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=277972&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7220dd00&cb=1517777565011&jobListingId=2628698226"
"Director of Content","Uberflip","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=310688&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_93603e94&cb=1517777565012&jobListingId=2616230308"
"Sales Executive","Vision Critical","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=299261&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5d532367&cb=1517777565013&jobListingId=2643210587"
"Program Consultant (Product Management)","CIHI","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=309945&s=58&guid=000001616297b249b235ae42d9ca8d3e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d2eee4f4&cb=1517777565014&jobListingId=2638733350"
