"Name","Company","State","City","Salary","Location","Url"
"Pharmacy Assistants - Data Entry / Intake","McKenzie Health Care Recruitment","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=305013&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9e7ac4a0&cb=1517777608615&jobListingId=2648279502"
"Data Engineer I","Amazon","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=299661&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_689bbe11&cb=1517777608616&jobListingId=2492654834"
"Data Analyst","STAT Search Analytics","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4341&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9eb6e000&cb=1517777608617&jobListingId=2640220012"
"ADMINISTRATION","Pharmascience","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=312517&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8f3c9dcc&cb=1517777608618&jobListingId=2651116707"
"Data Scientist","TELUS","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=102921&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_081bec72&cb=1517777608619&jobListingId=2559100262"
"Intermediate iOS Developer","MetaOptima","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=249074&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2420a759&cb=1517777608625&jobListingId=2653382603"
"Data Scientist","Battlefy","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=14295&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2e0ff29e&cb=1517777608626&jobListingId=2607136907"
"Digital Strategy Manager","TRADER Corporation","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=286553&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a1ae6b6f&cb=1517777608627&jobListingId=2582244827"
"Marketing and Events Coordinator (7 month contract)","GoFetch  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=292693&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_16429cc8&cb=1517777608629&jobListingId=2646270894"
"Software Architect - Big Data - Central Technology (Activision","Demonware","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=270709&s=58&guid=0000016162985e0ab6b40dee2ca23a2e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e58f4f82&cb=1517777608630&jobListingId=2564333832"
