"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","INgrooves Music Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_472cc7fa&cb=1517777864192&jobListingId=2599797198"
"Data Analyst","Sunshine Village","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_af14fba6&cb=1517777864194&jobListingId=2644073883"
"RES O 27R - Senior Data Analyst","Government of British Columbia  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b9759db9&cb=1517777864195&jobListingId=2654736836"
"Intermediate Frontend Developer","Freshworks Studio","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=284213&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_aeffb987&cb=1517777864196&jobListingId=2643438786"
"Data Engineer","INgrooves Music Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0e1f6496&cb=1517777864197&jobListingId=2599798080"
"Data Architect (Data Modeller) -NR","OCI Inc.","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=178789&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_caa02bf7&cb=1517777864199&jobListingId=2646641838"
"Intermediate iOS Developer","Freshworks Studio","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=284138&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8af45a50&cb=1517777864200&jobListingId=2643438790"
"Support and Account Manager","Rooof  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=66506&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ac37fd02&cb=1517777864201&jobListingId=2654898305"
"ISL 30R - Lead Data Architect","Government of British Columbia","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b4c31747&cb=1517777864202&jobListingId=2640059987"
"Sales Enablement Manager","Benevity","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=300602&s=58&guid=00000161629c4445af201f9a085123c2&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d9f15e8b&cb=1517777864203&jobListingId=2617470512"
