"Name","Company","State","City","Salary","Location","Url"
"Senior Accountant","Armco Capital Inc.  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=186496&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a7d6c054&cb=1517780976683&jobListingId=2654951353"
"Project Accountant","Bird Construction  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82e24d37&cb=1517780976683&jobListingId=2580011334"
"Staff Accountant","MDD Forensic Accountants","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4341&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_78cac9e8&cb=1517780976684&jobListingId=2650078343"
"Project Accountant","MDA Corporation","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_49cab98c&cb=1517780976685&jobListingId=2612906696"
"Senior Accountant","KPMG Canada","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=102921&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8b6b276d&cb=1517780976686&jobListingId=2638782761"
"Fund Accountant","Citco  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=136067&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81b140ff&cb=1517780976688&jobListingId=2608315666"
"Bridgewater - Senior Accountant","O'Regan's Automotive Group","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=60939&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3733c794&cb=1517780976688&jobListingId=2646158718"
"Senior Fund Accountant  Hedge Funds","Maitland  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0edfbb9b&cb=1517780976689&jobListingId=2652553992"
"Accounting Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186601&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7a8fbbe4&cb=1517780976690&jobListingId=2645530723"
"Senior Tax Accountant","BDO Canada","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=137093&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a3c94a6d&cb=1517780976691&jobListingId=2574457551"
"Accounting Technician","KPMG Canada  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=102921&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_523df7e9&cb=1517780976692&jobListingId=2639842730"
"Senior Accountant, Assurance and Accounting","MNP LLP","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=52448&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b087782e&cb=1517780976693&jobListingId=2646895075"
"Senior Accountant, Privately Held Business","Grant Thornton LLP","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=102921&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_58ef8687&cb=1517780976694&jobListingId=2638914394"
"Senior Staff Accountant - Audit Private","Deloitte","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=55938&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_00544e6f&cb=1517780976695&jobListingId=2636579741"
"Inventory Taker - Auditor - Canada - Dist 519 - Halifax - Dartmouth","RGIS","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=102921&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd34ad75&cb=1517780976697&jobListingId=1623575786"
"Accounting Manager (Halifax, NS)","VistaCare Communications","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6c6acea&cb=1517780976698&jobListingId=2639460011"
"CPA Student - Finance","Capital District Health Authority  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b5bb53f&cb=1517780976699&jobListingId=2652169104"
"CPA Student - Finance","Nova Scotia Health Authority  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3558f1b5&cb=1517780976700&jobListingId=2652078606"
"Manager, Accounting","Tribune Company","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=52448&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e48fd979&cb=1517780976701&jobListingId=2650077151"
"Accounting Lead (as","Accountant Staffing  NEW","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=186496&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dda4ea49&cb=1517780976702&jobListingId=2654951107"
"Accounting Technician, Tax","MNP LLP  NEW","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=52448&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d195d119&cb=1517780976703&jobListingId=2652942262"
"Supervisor, Fund Accounting","Citco","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=136067&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dcff1c9b&cb=1517780976703&jobListingId=2648975165"
"Indirect Tax Manager","KPMG Canada","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=102921&s=58&guid=0000016162cbc1f59c91551a9540d4f2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8eb9c217&cb=1517780976705&jobListingId=2551117128"
