"Name","Company","State","City","Salary","Location","Url"
"Analyst, Security Business","Suncor","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=176621&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e16b5db1&cb=1517778716224&jobListingId=2644690816"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=221861&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fa975bf3&cb=1517778716226&jobListingId=2645047075"
"Trader Analyst or Senior Trader Analyst","Government of Canada","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ddbd4aa0&cb=1517778716226&jobListingId=2640257611"
"Information Analyst","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=134028&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a703bf60&cb=1517778716228&jobListingId=2638227472"
"Analyst, CXL","Suncor  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=176621&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_592768b7&cb=1517778716229&jobListingId=2653854385"
"Energy Investment Banking - Oil & Gas Coverage - Senior Analyst / Junior Associate","J.P. Morgan  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133122&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f5b54b24&cb=1517778716230&jobListingId=2617932654"
"Data Analyst","Rosen","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f8c2756&cb=1517778716230&jobListingId=2475030654"
"Business Analyst","Procom  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=178789&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39617090&cb=1517778716231&jobListingId=2651351878"
"Analyst, Quality Systems","EVRAZ North America","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=200115&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f6362524&cb=1517778716232&jobListingId=2587465263"
"Operations Technical Analyst","Benevity","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=300602&s=58&guid=0000016162a9454aa704bd3b502f2383&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_32155015&cb=1517778716233&jobListingId=2650266553"
