"Name","Company","State","City","Salary","Location","Url"
"Operations Analyst","Uline  HOT","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=68570&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5a35db1b&cb=1517778723858&jobListingId=2577322789"
"Business Analyst","ATB Financial  HOT","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=154425&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_35cc1d8b&cb=1517778723859&jobListingId=2644203483"
"Business Analyst","Continental Technology Solutions  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_051c6007&cb=1517778723860&jobListingId=2652079611"
"Business Analyst","University of Alberta  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8cd76269&cb=1517778723861&jobListingId=2652208831"
"Desktop Support Analyst","Wysdom Consulting Group","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=3953&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0fc0d1c8&cb=1517778723862&jobListingId=2580489475"
"Technical Support Analyst","Intellimedia","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_51da8528&cb=1517778723863&jobListingId=2654948270"
"analyst, business management","Procom","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=178789&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5039337b&cb=1517778723864&jobListingId=2641763888"
"Business Systems Analyst - Simcorp Dimension","inSync","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a969cc13&cb=1517778723865&jobListingId=2654948355"
"Network Analyst I","Servus Credit Union","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=266591&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a1cdf9a1&cb=1517778723866&jobListingId=2646396285"
"Business Analyst","Brainhunter","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e4814967&cb=1517778723867&jobListingId=2649854228"
"Sr. Product Business Analyst","Computronix","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4341&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5e6cedf4&cb=1517778723868&jobListingId=2640220838"
"intermediate Programmer Analyst With Javascript","Si System","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3aae3016&cb=1517778723870&jobListingId=2654948478"
"Intermediate Technical Analyst","Microserve","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3ae510a5&cb=1517778723871&jobListingId=2654948618"
"Server-Analyst","Vantix Systems  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dbd1c7e5&cb=1517778723872&jobListingId=2513160858"
"Senior Business Analyst","Procom","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=178789&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2226a407&cb=1517778723873&jobListingId=2652720518"
"Business Analyst","JV Driver","","Leduc","","Leduc","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea7c8dfd&cb=1517778723875&jobListingId=2654948332"
"Technical Test Analysts","PROCOM  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=178789&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_87f6bf9a&cb=1517778723877&jobListingId=2651235790"
"Technical Analyst / Business Analyst - Intermediate","Kemkar Projects/ Contract with with Government cli","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c4cbd02e&cb=1517778723877&jobListingId=2654947893"
"Student Opportunity, Product Analyst, Payments, Credit Cards","ATB Financial","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=154425&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_738ed66f&cb=1517778723878&jobListingId=2646296080"
"Business Analyst  GM:BA:A","ARC Business Solutions  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_70982c37&cb=1517778723880&jobListingId=2650794333"
"Student Opportunity, Financial Analyst (RFS Finance)","ATB Financial","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=154425&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8ef24d66&cb=1517778723881&jobListingId=2646864169"
"Quality Assurance Analyst  GM:QAA:A","ARC Business Solutions  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c23f3ef1&cb=1517778723882&jobListingId=2650794334"
"Int. Technical Business Analyst (j.d. Edwards)","Intellex Systems Inc.","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=186496&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_28c58867&cb=1517778723882&jobListingId=2654948741"
"Analyst, Payroll","EPCOR","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=288118&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3f3d4431&cb=1517778723884&jobListingId=2648628679"
"Web-Analyst","Vantix Systems","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4120&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aaaec79d&cb=1517778723885&jobListingId=2584030426"
"Senior Financial Analyst","Robert Half Management Resources  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=133516&s=58&guid=0000016162a962c1a6ba08103441cce6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_347573c9&cb=1517778723886&jobListingId=2651285298"
