"Name","Company","State","City","Salary","Location","Url"
"Bilingual Accounts Analyst","HUB International","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=179989&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cb6f75eb&cb=1517778730928&jobListingId=2645926272"
"Business Analyst","Sierra Systems  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=3949&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a8a75dd&cb=1517778730930&jobListingId=2607419503"
"Cybersecurity Analyst","GoSecure","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=282217&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5e693bab&cb=1517778730931&jobListingId=2588996832"
"Technical Business Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=186601&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_826a2d1a&cb=1517778730931&jobListingId=2562505097"
"Financial Analyst","Intertek","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133323&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_618034e3&cb=1517778730933&jobListingId=2634508467"
"Policy Analyst","Province of Nova Scotia  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=186496&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9ac3e931&cb=1517778730934&jobListingId=2654951165"
"Business Intelligence Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=186601&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79864972&cb=1517778730935&jobListingId=2612404898"
"Senior Business Analyst - Mariner Innovations","Mariner Innovations","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4134&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a0674432&cb=1517778730936&jobListingId=2651827091"
"Financial Analyst / Underwriter, Surety","Trisura  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f6e0f9d&cb=1517778730937&jobListingId=2599730789"
"Security Incident Response Analyst - Insider Threat","NTT DATA  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133983&s=58&guid=0000016162a97e87bba2f5f0f90beafc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c14dcbcd&cb=1517778730938&jobListingId=2654985264"
