"Name","Company","State","City","Salary","Location","Url"
"+ Business Analyst","WorkJam","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=306110&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a4df83b8&cb=1517777891600&jobListingId=2586629562"
"Equity Research Analyst","Vigilant - a DRW Company  HOT","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=241307&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3e1421a9&cb=1517777891601&jobListingId=2511897934"
"Analyst","MWPVL International","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=312390&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5b9a3013&cb=1517777891602&jobListingId=2650408975"
"QA Analyst (Game) - Full-Time, Competitive Salary & Relocation","Prodigy Game","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=294951&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_04839363&cb=1517777891603&jobListingId=2631590752"
"Bilingual Application Analyst","Ceridian","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=241940&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7d889953&cb=1517777891605&jobListingId=2641562800"
"Financial Analyst // Analyste Financier","SSENSE  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=309831&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12ff1acf&cb=1517777891606&jobListingId=2538021164"
"Business Analyst","Humanify360","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4323&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_19536c53&cb=1517777891607&jobListingId=2631864972"
"Business Analyst","AmerisourceBergen  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133599&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c4d8f9e5&cb=1517777891608&jobListingId=2629011022"
"Settlement Operations Analyst in Montreal at Pivotal Payments","Pivotal Payments","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=267301&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9610243a&cb=1517777891609&jobListingId=2639851553"
"Financial Analyst - Restructuring US","Richter","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=282796&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa07a37d&cb=1517777891610&jobListingId=2591184538"
"Growth Analyst","Hopper","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f7d08d19&cb=1517777891611&jobListingId=2535295546"
"Analyste .NET Principal(e)","Sun Life Financial","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=185401&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_217bd293&cb=1517777891612&jobListingId=2649387578"
"Cyber Security Analyst, Ethical Hacking","GoSecure","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=282214&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_197b0c2b&cb=1517777891614&jobListingId=2588993677"
"Business Analyst","CGI","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=133286&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79eb4eba&cb=1517777891614&jobListingId=2648861784"
"Functional Analyst SAP MM","VisionTree Ventures","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=307165&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_be6b77e5&cb=1517777891615&jobListingId=2545654133"
"Business Analyst Assistant","Dentsu Aegis Network","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=296173&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f5b6b58&cb=1517777891616&jobListingId=2611633203"
"Junior Cyber Security Analyst, Ethical Hacking","GoSecure","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=282214&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3375df7a&cb=1517777891617&jobListingId=2588994484"
"Analyst","McGill University","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f32630cf&cb=1517777891618&jobListingId=2589109558"
"Business Support Analyst, Administrative Systems","Richter","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=282798&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0371ec10&cb=1517777891619&jobListingId=2634386943"
"Tax Analyst // Analyste fiscal","SSENSE","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=309831&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa970b08&cb=1517777891620&jobListingId=2540002176"
"Operations Security Analyst","GoSecure","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=282214&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7c7b4e38&cb=1517777891621&jobListingId=2588994961"
"Analyste SAS (module AML et SAS DI Studio)","Procom","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=178789&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_232600b9&cb=1517777891623&jobListingId=2645852496"
"Cost Analyst","Altus Group","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4130&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1af6cb3f&cb=1517777891624&jobListingId=2643434544"
"Business Analyst","RGP  NEW","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=133007&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_727235f0&cb=1517777891625&jobListingId=1985581532"
"Analyste, Rglements et Oprations in Montreal at Pivotal Payments","Pivotal Payments","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=267302&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e0e8e7be&cb=1517777891626&jobListingId=2639851595"
"HRIS Analyst","Richter","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=282798&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8c709990&cb=1517777891628&jobListingId=2591184513"
"PCI QSA -Cybersecurity Analyst","GoSecure","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=282217&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b41d3b31&cb=1517777891629&jobListingId=2588995551"
"Data Analyst","Seedbox Technologies","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4128&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_acd010b7&cb=1517777891630&jobListingId=2605865920"
"Business Analyst","INTUDIO","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=14295&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_dc995ccf&cb=1517777891632&jobListingId=2584503570"
".Net Senior Analyst","Sun Life Financial","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=185401&s=58&guid=00000161629cafc2a741e148f482d24a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b3cb597c&cb=1517777891632&jobListingId=2649285488"
