"Name","Company","State","City","Salary","Location","Url"
"Systems and Security Analyst","Stemcell Technologies  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=311487&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b368379d&cb=1517778687556&jobListingId=2596619898"
"Server Administrator/Analyst-BHJOB17560_177 GD","Benchmark Tech Recruitment","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=205708&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c58091ea&cb=1517778687557&jobListingId=2635331269"
"Senior Financial Analyst","Vision Critical  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=299261&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dfbc6223&cb=1517778687559&jobListingId=2638379907"
"Business Analyst","iQmetrix","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=267212&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b9b4c243&cb=1517778687561&jobListingId=2619124405"
"Business Analyst (Engineering and Manufacturing Systems)-BHJOB17560_180 GD","Benchmark Tech Recruitment","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=205706&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a160022f&cb=1517778687562&jobListingId=2637488572"
"Business Operations Analyst","Clio","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=270588&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74dbbab0&cb=1517778687564&jobListingId=2644212525"
"Technical Quality Assurance Analyst-Automotive Warranty","LGM Financial Services Inc.","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=311804&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_36322b1d&cb=1517778687566&jobListingId=2643788776"
"Business Analyst","Vancouver Coastal Health  NEW","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=52448&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a643aad&cb=1517778687568&jobListingId=2629228827"
"Business Analyst","LandSure Systems","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186496&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a6c1f4e&cb=1517778687569&jobListingId=2654950122"
"Research Data Analyst","BC Children's Hospital","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016162a8d546a1b94ff5bb22c260&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ffd09b0d&cb=1517778687575&jobListingId=2646352527"
