"Name","Company","State","City","Salary","Location","Url"
"Intermediate Business Analyst","Freshworks Studio  HOT","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=284214&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_efb8c118&cb=1517777877045&jobListingId=2640516556"
"Finance Analyst","MonetizeMore","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4341&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_252eeb27&cb=1517777877046&jobListingId=2653835655"
"Senior QA Analyst / QA Lead","CGI","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133286&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2299df0d&cb=1517777877048&jobListingId=2618025195"
"Senior Systems Analyst","University of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8ca7ef65&cb=1517777877050&jobListingId=2641543570"
"POL EC 27R - Senior Policy Analyst (Amended)","Government of British Columbia","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_923793fd&cb=1517777877052&jobListingId=2654735213"
"RES O 27R - Senior Data Analyst","Government of British Columbia","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf5a2f0a&cb=1517777877054&jobListingId=2654736836"
"Senior Analyst, Desktop Standards","Vancouver Island Health Authority  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e455be96&cb=1517777877056&jobListingId=1859729279"
"Enterprise Product Support Analyst","Latitude Geographics Group Ltd","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=66506&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ce5634f3&cb=1517777877057&jobListingId=2650302013"
"Data Analyst","Sunshine Village","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_83c6df6a&cb=1517777877059&jobListingId=2644073883"
"Business Analyst - Application Peripherals Testing Assessment (APTA)","Vancouver Island Health Authority  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_40a6c1a0&cb=1517777877061&jobListingId=2652073408"
"Senior Research Analyst","R.A. Malatest & Associates","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=244237&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d1972c72&cb=1517777877062&jobListingId=2514560083"
"Sales Operations Analyst","Unit4  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=133726&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b87bcdd5&cb=1517777877063&jobListingId=2606856979"
"ADMN O 24R - Compensation Analyst - amended title","Government of British Columbia  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bae14413&cb=1517777877065&jobListingId=2651107799"
"PeopleSoft HRMS Functional Analyst","Sierra Systems","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=3949&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4a9fda65&cb=1517777877066&jobListingId=2394142932"
"Senior Business Systems Analyst","CGI  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=133286&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3679c82a&cb=1517777877068&jobListingId=2608564823"
"ADMN O 24R - Performance Management Analyst","Government of British Columbia","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_46315856&cb=1517777877069&jobListingId=2650062386"
"Clinical Application Analyst","Vancouver Island Health Authority","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fbb71637&cb=1517777877071&jobListingId=2650756965"
"Financial Analyst - Budgets","City of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=52448&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c6e6cf9&cb=1517777877074&jobListingId=2646101857"
"Senior Business/Technical Analyst - Health","CGI","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=133286&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_da7a3cbe&cb=1517777877075&jobListingId=2644088755"
"ADMN O 24R - Indigenous Economic Opportunity Analyst","Government of British Columbia  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39877950&cb=1517777877077&jobListingId=2652053353"
"Business Intelligence Analyst (Healthcare)","Gevity Consulting  HOT","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_30590613&cb=1517777877079&jobListingId=2495925426"
"Device Integration Analyst","Vancouver Island Health Authority","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2cda2f69&cb=1517777877080&jobListingId=2570087514"
"Software Quality Assurance Analyst/Tester","CGI","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=133286&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_262e927a&cb=1517777877083&jobListingId=2647022944"
"Financial Analyst - Budgets","City of Victoria, BC","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4008&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_571a6d89&cb=1517777877085&jobListingId=2645590985"
"Quality Control Analyst","Unit4","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=133726&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f45e3b4&cb=1517777877086&jobListingId=2643819766"
"Business Application Analyst","Vancouver Island Health Authority  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4129&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ae866554&cb=1517777877087&jobListingId=2464490746"
"POL FI 27R - Senior Policy and Program Analyst (Amended)","Government of British Columbia  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ac8ec1da&cb=1517777877088&jobListingId=2652053199"
"Business System Analyst","Quartech Systems","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2353874a&cb=1517777877089&jobListingId=2638335428"
"Senior QA Analyst","CGI","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=133286&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_292bc960&cb=1517777877090&jobListingId=2647022939"
"ISL 21R - SYSTEMS ANALYST","Ministry of Finance, British Columbia","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4120&s=58&guid=00000161629c76a4b7a128e1bd045435&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6e4574c&cb=1517777877091&jobListingId=2647052917"
