"Name","Company","State","City","Salary","Location","Url"
"Business Analyst","Gevity Consulting Inc.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4341&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_668e9417&cb=1517778607047&jobListingId=2261908093"
"Business Analyst","Procom  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=178789&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7b99bda&cb=1517778607049&jobListingId=2651309548"
"Business Analyst","Robert Half Management Resources","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133516&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6ad1212&cb=1517778607050&jobListingId=2646690166"
"Analyst, Security Business","Suncor","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=176621&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_43d93035&cb=1517778607052&jobListingId=2644690816"
"Business Analyst","Ness USA INc","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=305740&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_31780939&cb=1517778607054&jobListingId=2649868019"
"Junior Data Analyst","The Aurum Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=221861&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_140da0d4&cb=1517778607055&jobListingId=2645047075"
"Business Analyst Advanced Analytics","IBM","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=140152&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3716e7f3&cb=1517778607056&jobListingId=2640608389"
"Business Systems Analyst","Canadian Natural Resources  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=134315&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8785b5db&cb=1517778607058&jobListingId=2618862379"
"Business-Analyst","Vantix Systems","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81d78c50&cb=1517778607059&jobListingId=2552880851"
"Business Analyst - Financials and Project Controls","TransCanada","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_75589739&cb=1517778607061&jobListingId=2649889968"
"Business Development Analyst","Tundra Process Solutions Ltd.","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=14295&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d59853ea&cb=1517778607064&jobListingId=2551279174"
"HRMS Business Analyst","Calgary Board of Education  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4468&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee133882&cb=1517778607065&jobListingId=2651508480"
"Infrastructure Business Analyst","Eagle Professional Resources","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba1a3678&cb=1517778607067&jobListingId=2650711664"
"Analyst, CXL","Suncor  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=176621&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9fcb5f75&cb=1517778607069&jobListingId=2653854385"
"Analyst, Business Planning and Developm","Pembina  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=186496&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f5158d3f&cb=1517778607070&jobListingId=2654946870"
"Business Systems Analyst","Procom","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=178789&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7963582e&cb=1517778607071&jobListingId=2650211872"
"Systems Business Analyst","Robert Half Management Resources","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=133516&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e93813bd&cb=1517778607073&jobListingId=2643920948"
"Business Analyst with Sailpoint","Continental Technology Solutions","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_08a41536&cb=1517778607075&jobListingId=2492142053"
"Project Business Analyst","Stantec","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4008&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd58d073&cb=1517778607077&jobListingId=2600405716"
"Workflow Analyst","ATB Financial  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=154425&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16ef0987&cb=1517778607078&jobListingId=2653515592"
"Management Consulting-Business Analyst","Enterprise Service Solutions","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=305740&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e309b36&cb=1517778607079&jobListingId=2649867476"
"Agile Business Analyst - SaaS","Kudos Inc.  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=66506&s=58&guid=0000016162a7998b9235f049cffc0f5f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_baadedbd&cb=1517778607081&jobListingId=2653921160"
