"Name","Company","State","City","Salary","Location","Url"
"Business Analyst","ATB Financial  HOT","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=154425&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7d606d76&cb=1517778614399&jobListingId=2644203483"
"Business Analyst","Robert Half Technology","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133516&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c73e1af3&cb=1517778614400&jobListingId=2633133931"
"Business Analyst","University of Alberta  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90813f6b&cb=1517778614401&jobListingId=2652208831"
"Business Analyst","Brainhunter","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_13ae64da&cb=1517778614402&jobListingId=2649854228"
"Business-Analyst","Vantix Systems","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_afebecaa&cb=1517778614404&jobListingId=2461958106"
"Business Analyst","Continental Technology Solutions  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c01c6099&cb=1517778614406&jobListingId=2652079611"
"Business Analyst","JV Driver  NEW","","Leduc","","Leduc","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=186496&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8891cc6&cb=1517778614407&jobListingId=2654948332"
"Business Analyst","SMS Equipment","","Acheson","","Acheson","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4121&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9781cac8&cb=1517778614408&jobListingId=2640185356"
"Senior Business Analyst","Canadian Western Bank","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=148256&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1cc876e0&cb=1517778614409&jobListingId=2637319001"
"Business Analyst II","TELUS","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=102921&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_137dde3f&cb=1517778614410&jobListingId=2598488924"
"Business-Analysts","Vantix Systems","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_20ead5a2&cb=1517778614411&jobListingId=2388876489"
"Senior Business Analyst","Procom  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=178789&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a8ad4fa&cb=1517778614412&jobListingId=2652720518"
"Business Systems Analyst - Simcorp Dimension","inSync  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=186496&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22ca00b4&cb=1517778614413&jobListingId=2654948355"
"Business Analyst III","Robert Half Technology","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=133516&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4de180e5&cb=1517778614414&jobListingId=2640524944"
"Technical Analyst / Business Analyst - Intermediate","Kemkar Projects/ Contract with with Government cli","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=186496&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a69a36ac&cb=1517778614416&jobListingId=2654947893"
"analyst, business management","PROCOM  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=178789&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_56707112&cb=1517778614417&jobListingId=2651252057"
"Business Analyst (ERP)","TEEMA Solutions Group","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_773a98aa&cb=1517778614418&jobListingId=2643749963"
"Network Analyst I","Servus Credit Union","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=266591&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0093a379&cb=1517778614420&jobListingId=2646396285"
"Operations Analyst","Uline  HOT","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=68570&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1012f17c&cb=1517778614421&jobListingId=2577322789"
"Senior Business Analyst","Fujitsu","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=102921&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa3f71ea&cb=1517778614422&jobListingId=2649310528"
"Senior Financial Consultant","MD Financial Management Inc.","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=308872&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6f5f3117&cb=1517778614423&jobListingId=2570341648"
"Business Analyst  GM:BA:A","ARC Business Solutions  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_741cca69&cb=1517778614425&jobListingId=2650794333"
"Entry Level Account Manager (HS Sales Consultant)","Hilti North America  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=291816&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1dddb710&cb=1517778614426&jobListingId=2653010004"
"SimCorp Business Systems Analyst -AIM","OCI Inc.","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=178789&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_339048f3&cb=1517778614428&jobListingId=2650249134"
"Business Analyst -AIM","OCI Inc.","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=178789&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3ca85c5d&cb=1517778614429&jobListingId=2638086877"
"Senior Business Analyst","Gevity Consulting","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8da16bc4&cb=1517778614431&jobListingId=2230515126"
"Business Systems Analyst (TIBCO)","Alberta Investment Management Corporation  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e26448d7&cb=1517778614433&jobListingId=2651913456"
"Business Analyst Work Experience Student (Parks and Roads Services)","City of Edmonton","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=102921&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_030a5f9b&cb=1517778614434&jobListingId=2646442958"
"analyst, systems","Procom","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=178789&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2d9a93a7&cb=1517778614435&jobListingId=2638087120"
"Business Systems Analyst","TEEMA Solutions Group","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4120&s=58&guid=0000016162a7b6488db249a42b25528a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c09b307f&cb=1517778614437&jobListingId=2563878501"
