"Name","Company","State","City","Salary","Location","Url"
"Business Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=186601&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_83d9f23a&cb=1517778622065&jobListingId=2645530724"
"Business Analyst","Sierra Systems  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=3949&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c3ca7e3a&cb=1517778622067&jobListingId=2607419503"
"Technical Business Analyst","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_189a4cb6&cb=1517778622068&jobListingId=2572153890"
"Product Owner/Business Analyst","T4G Limited","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=93842&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a939690c&cb=1517778622069&jobListingId=2648467162"
"Business Systems Analyst","Lifemark Health Group  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4128&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_55a65e27&cb=1517778622070&jobListingId=2652085105"
"Cybersecurity Analyst","GoSecure","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=282217&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_effb8b10&cb=1517778622071&jobListingId=2588996832"
"Senior Business Analyst - Mariner Innovations","Mariner Innovations","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4134&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6ff24f09&cb=1517778622072&jobListingId=2651827091"
"Senior Business Analyst","Gevity Consulting Inc.","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4341&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_198c84ec&cb=1517778622073&jobListingId=2275576472"
"Technical Business Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186601&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_94a97bbd&cb=1517778622075&jobListingId=2562505097"
"Junior Business Analyst","MOBIA Technology Innovations  NEW","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=186496&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_707cf4ea&cb=1517778622076&jobListingId=2654951187"
"Senior Analyst","Altus Group","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4130&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2baea246&cb=1517778622077&jobListingId=2645279185"
"Business Development Analyst (one-year Term)","Nova Scotia Business Inc.  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=186496&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d282b06&cb=1517778622079&jobListingId=2654951234"
"Business Architect","High Liner Foods","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4121&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a4e3cba&cb=1517778622080&jobListingId=2281292784"
"Computer Service Officer 3 (CSO 3) (Business Analyst)","The Government of Nova Scotia  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=55938&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e44ae555&cb=1517778622081&jobListingId=2652384005"
"Image Sales Consultant - Face to Face Inside Sales","Hair Club","","Bedford","","Bedford","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=268856&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_76c83ee0&cb=1517778622082&jobListingId=2647280658"
"Policy Analyst","Province of Nova Scotia  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=186496&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f08c5e8c&cb=1517778622083&jobListingId=2654951165"
"IM/IT Senior Systems/Business Analyst - Drug Information System","Capital District Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_51d71820&cb=1517778622084&jobListingId=2650341048"
"IM/IT Senior Systems/Business Analyst - Drug Information System","Nova Scotia Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4120&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4146730c&cb=1517778622085&jobListingId=2650774364"
"Security Incident Response Analyst - Insider Threat","NTT DATA  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=133983&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cdd77cac&cb=1517778622087&jobListingId=2654985264"
"Business Intelligence Analyst","EastLink","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=186601&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b1b4593&cb=1517778622088&jobListingId=2612404898"
"IM/IT Systems Analyst - Clinical Specialty Services","Nova Scotia Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=0000016162a7d3598db91cdbed4d9f4a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d7e8e0e6&cb=1517778622089&jobListingId=2649689805"
