"Name","Company","State","City","Salary","Location","Url"
"Software Engineer, Machine Learning, Artificial Intelligence, ATB Innovation","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=134028&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b015b8bb&cb=1517778076538&jobListingId=2639044575"
"Refrigeration Mechanic","DSL","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=232959&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5ea62d62&cb=1517778076539&jobListingId=2618628652"
"Data Analytics Manager, Financial Accounting Advisory Services","EY","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=132919&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc6ffca6&cb=1517778076540&jobListingId=2612670304"
"Learn More","Calgary Scientific","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7a26e40b&cb=1517778076541&jobListingId=2497910509"
"Data Scientist: Advanced Analytics","IBM","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=140152&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8e77df4&cb=1517778076543&jobListingId=2617468270"
"Junior Data Scientist: Advanced Analytics","IBM","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=140152&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6acffdfb&cb=1517778076544&jobListingId=2632935572"
"Data Scientist","Telus  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=55774&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1c93750&cb=1517778076545&jobListingId=2629367347"
"Specialist, Fundraising Analytics, Development Data, Development and Alumni Engagement","The University of Calgary","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=6607&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_533f4b79&cb=1517778076546&jobListingId=2649453590"
"CNC Machine Operator / Journeyman Machinist","Sullivan Machine Works","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186496&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05260f54&cb=1517778076548&jobListingId=2654947001"
"Category Manager, Procurement","ATB Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=154595&s=58&guid=00000161629f82338918bb289046b62d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cf6e5a87&cb=1517778076550&jobListingId=2646296073"
