"Name","Company","State","City","Salary","Location","Url"
"Deep Learning Engineer","Slyce  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=8095&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2061d616&cb=1517777995235&jobListingId=2520821954"
"Back-end Developer","Affinio","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=66506&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_641afb8e&cb=1517777995236&jobListingId=2604860815"
"Research Associate II, BIOTIC","IWK Health  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c6cfa622&cb=1517777995237&jobListingId=2583278605"
"Research Associate II, BIOTIC","Nova Scotia Health Authority","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_14fffc32&cb=1517777995238&jobListingId=2500006128"
"Senior Data Developer","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_68219301&cb=1517777995239&jobListingId=2535234273"
"Technical Team Lead  Data Science","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bc8616f1&cb=1517777995240&jobListingId=2553967475"
"Quality Assurance Engineer (Data)","NTT DATA","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=133983&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a4320c5a&cb=1517777995242&jobListingId=2637945252"
"Router","National Express Corporation  NEW","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=37049&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6d48ebdc&cb=1517777995243&jobListingId=2654984523"
"Lead Field Service Engineer- Power","GE Power  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=133822&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12d7e1a2&cb=1517777995244&jobListingId=2652750429"
"Slot Service Representative","Great Canadian Casinos","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_775c2404&cb=1517777995245&jobListingId=2649769574"
"Technical Team Lead  Big Data & Analytics","Lixar IT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c3c59d60&cb=1517777995246&jobListingId=2553967471"
"Dispatcher","National Express Corporation","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=37049&s=58&guid=00000161629e44f589da3f57780c3d2c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_272a0f6b&cb=1517777995247&jobListingId=2654984719"
