"Name","Company","State","City","Salary","Location","Url"
"Software Developer for Machine Learning Education Startup","AI-Educate","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=305669&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a23ae999&cb=1517778084106&jobListingId=2649760746"
"Machine Learning Platform Specialist","Morgan Stanley","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=134550&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6c0a8a45&cb=1517778084107&jobListingId=2649421125"
"Machine Learning (Python/C++) R&D Developer","Services Conseils IntelliSoft","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b194ac06&cb=1517778084108&jobListingId=2326106994"
"Machine Learning Scientist (PhD)","Fluent.ai","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=14295&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_33985947&cb=1517778084110&jobListingId=2490484119"
"Applied Research Scientist","Element AI  HOT","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=8095&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63a40b23&cb=1517778084110&jobListingId=2511152943"
"Research Engineer (AI)","Facebook","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=132920&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c5d0f07b&cb=1517778084111&jobListingId=2540244958"
"Senior Back-End Developer","lvl studio","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=307688&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c3b34824&cb=1517778084113&jobListingId=2654177368"
"Machine Learning Research Engineer","MarketMuse","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=160631&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bcfc8145&cb=1517778084113&jobListingId=2650962530"
"Data Scientist","Telus","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=55774&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7349e51c&cb=1517778084114&jobListingId=2629367348"
"Google AI Resident, 2018 Start (Fixed Term Employee)","Google","","Montreal","","Montreal","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=191997&s=58&guid=00000161629f9fb69a99725062c01bf8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1b9b2011&cb=1517778084116&jobListingId=2640356803"
