"Name","Company","State","City","Salary","Location","Url"
"Machine Learning System Software Engineer","Qualcomm  HOT","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3f13a6d4&cb=1517778048000&jobListingId=2594425294"
"Research Engineer (Machine Learning and Computer Vision)","Huawei Technologies  HOT","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=3949&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_416fac05&cb=1517778048001&jobListingId=2551826426"
"Machine Operator","Array Marketing","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=290500&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2c730a91&cb=1517778048002&jobListingId=2604456633"
"Machine Learning DevOps Engineer","SkyX","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=66506&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c9536f40&cb=1517778048003&jobListingId=2638536794"
"Tenured/ Tenure-Track Assistant or Associate Professor: Electric Machines and Motor Drives","UOIT  NEW","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4375&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_de66ad9a&cb=1517778048004&jobListingId=2628084629"
"Machine Learning Software Senior Engineer","Qualcomm  HOT","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1c2b748d&cb=1517778048005&jobListingId=2588525210"
"Faculty of Engineering and Applied Science - Tenured/ Tenure-Track Assistant or Associate Professor: Electric Machines and Motor Drives","University of Ontario Institute of Technology  NEW","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4011&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c010f86d&cb=1517778048006&jobListingId=2628410685"
"Machine Learning Compiler Developer","Huawei Technologies","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=3949&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c6b14e2&cb=1517778048006&jobListingId=2571544756"
"CNC Operator","Array Marketing","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=290500&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8575b14&cb=1517778048008&jobListingId=2576554887"
"Data Scientist","Dealer-FX","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4008&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3bd47947&cb=1517778048009&jobListingId=2645412178"
"AI/ML Research Engineer","Huawei Technologies","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=3949&s=58&guid=00000161629f11e592299d5f711cd6ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_db4810d4&cb=1517778048010&jobListingId=2540933616"
