"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","Sitecore  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=311707&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_07073f78&cb=1517778026216&jobListingId=2493927078"
"Developer, Machine Learning","ZetaTango","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=66506&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec688f46&cb=1517778026216&jobListingId=2604185279"
"Machine Learning Specialist / Data Scientist","KodaCloud  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=37049&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ecc72a72&cb=1517778026217&jobListingId=2628847813"
"Software Developer, Machine Learning","Titus Group","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86c784b4&cb=1517778026218&jobListingId=2618881815"
"Senior Machine Learning / Data Scientist","Zighra","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=148105&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b8b4a97&cb=1517778026219&jobListingId=2258687526"
"Senior Full-Stack Developer","McMillan","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=263039&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c02cde47&cb=1517778026221&jobListingId=2586709868"
"Manager Software Development Machine Learning Platform","CENX","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_68b52f98&cb=1517778026222&jobListingId=2555299455"
"Software Developer, Machine Learning","Titus","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4341&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4b3ee612&cb=1517778026223&jobListingId=2619130286"
"**Summer 2018** Software Engineer Internship","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c452d43b&cb=1517778026225&jobListingId=2599591317"
"Full Stack Tech Architect Manager","Accenture","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=149990&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82a0aee9&cb=1517778026226&jobListingId=2554497945"
"Data Scientist: Advanced Analytics","IBM","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=140152&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_41504050&cb=1517778026227&jobListingId=2615342413"
"Software Engineer - Elastic","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6553a75a&cb=1517778026228&jobListingId=2646759756"
"Quality Assurance Specialist, Machine Learning","Titus","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4341&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fb1d7bf7&cb=1517778026230&jobListingId=2619130287"
"Jr Data Scientist","Trend Micro  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4008&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3a963191&cb=1517778026231&jobListingId=2568838410"
"Quality Assurance Specialist, Machine Learning","Titus Group","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cabcdf28&cb=1517778026232&jobListingId=2618881630"
"Open Source Compliance Engineering Student - 4 Month Spring Term","Blackberry  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133088&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78f783a2&cb=1517778026233&jobListingId=2653231194"
"Software Engineer - Big Data Analytics","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a603393e&cb=1517778026234&jobListingId=2646759487"
"Senior Developer/Team Lead (Java) Contract","LRO Staffing  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=305740&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2240e417&cb=1517778026235&jobListingId=2652848136"
"Technical Team Lead  Data Science","Lixar IT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fce581c1&cb=1517778026236&jobListingId=2553967469"
"DevOps Engineer","BlackBerry","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=194027&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_68e4c737&cb=1517778026237&jobListingId=2638998073"
"Product Marketing Systems Specialist CRM & CPQ","Ross Video  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=6607&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_521bb1ca&cb=1517778026239&jobListingId=2654078169"
"Software Engineer - NiFi","Interset","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fd06f65a&cb=1517778026245&jobListingId=2646759757"
"DevOps Engineer","AtHoc  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=242900&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_92d0b85a&cb=1517778026246&jobListingId=2651040747"
"Product Marketing Systems Specialist  CRM & CPQ","ROSS VIDEO  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=102921&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b23944de&cb=1517778026247&jobListingId=2653386544"
"Financial Services Developer (Ottawa or Toronto)","ZetaTango","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=66506&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e54d1850&cb=1517778026248&jobListingId=2604185176"
"Senior Engineer - Risk","Shopify","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=85944&s=58&guid=00000161629ebd77aacecc8cab13e924&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_87fc9a4d&cb=1517778026249&jobListingId=2566399620"
