"Name","Company","State","City","Salary","Location","Url"
"Final Assembler","Reliable Controls","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e58e530&cb=1517778100915&jobListingId=2604747828"
"Data Scientist","INgrooves Music Group  HOT","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8a3fc86f&cb=1517778100917&jobListingId=2599797198"
"Scientific Machinist","University of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4129&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67bc2501&cb=1517778100918&jobListingId=2605353864"
"Territory Manager","Ecolab","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=278528&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_97e5a89e&cb=1517778100920&jobListingId=2626076447"
"Guest Services Porter","Fairmont Hotels & Resorts","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=102921&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_81d0edf3&cb=1517778100921&jobListingId=2559267242"
"Painting Apprentice","Seaspan Marine  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=3949&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b5370249&cb=1517778100923&jobListingId=2627909215"
"General Worker II Casual","University of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4129&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0b120275&cb=1517778100924&jobListingId=2632326423"
"Service Technician","Key Food Equipment Services","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4342&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4ac11e6d&cb=1517778100926&jobListingId=2631277801"
"Guest Services Porter","The Fairmont Empress Resort","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=5765&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5f206b08&cb=1517778100927&jobListingId=2642930194"
"Laboratory Technologist","University of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4129&s=58&guid=00000161629fe172910ee992a9319d5c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_feacfcb8&cb=1517778100929&jobListingId=2634529785"
