"Name","Company","State","City","Salary","Location","Url"
"Marketing & Communication Manager","SAITSA","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=302541&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0db8917c&cb=1517779244774&jobListingId=2640575342"
"Territory Account Manager","TradeRev","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=205205&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5cdfc22e&cb=1517779244774&jobListingId=2637638148"
"Regional Manager in Training","Hilti North America","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=292671&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a23f424&cb=1517779244776&jobListingId=2361694023"
"Assistant Resident Manager Team (2 ppl)","Hollyburn Properties","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=268762&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bc957fe7&cb=1517779244777&jobListingId=2537720100"
"Operations Manager","EVRAZ North America","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=109022&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a7e633bf&cb=1517779244778&jobListingId=2599644280"
"Manager, Quality and Regulatory Compliance","Rodan and Fields, LLC","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=310281&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e411918f&cb=1517779244779&jobListingId=2578080786"
"Manager In-Training","JOEY Restaurants","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=300222&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_827b3904&cb=1517779244780&jobListingId=2600439409"
"Health Solutions Manager, Pain (Primary Care) - Calgary, Lethbridge","Purdue Pharma Canada","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=264092&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_29af5d11&cb=1517779244782&jobListingId=2644825291"
"Brand Activity Manager","Sleeman Breweries  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=292676&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3d04aa54&cb=1517779244783&jobListingId=2587194331"
"General Manager","G4S","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6d3c8621&cb=1517779244784&jobListingId=2649197383"
"Front Store Manager (FSM)","Shoppers Drug Mart","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=133513&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5df28d99&cb=1517779244785&jobListingId=2636634731"
"Senior Category Manager, Fresh Drinks & Alliances","Shell  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=304326&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0c1243a2&cb=1517779244786&jobListingId=2653627518"
"ITSM Project Manager","Solvera","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=293644&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1192c8f0&cb=1517779244787&jobListingId=2647078262"
"Enterprise Account Manager","FireEye","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=102765&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_42e85864&cb=1517779244788&jobListingId=2638602230"
"Business Development Manager - Personal Insurance","Travelers Companies  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=146174&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bb0139b3&cb=1517779244789&jobListingId=2628098945"
"Managers","Joey Crowfoot  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=186496&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6cde7575&cb=1517779244790&jobListingId=2654946738"
"Contact Centre Assistant Manager, Service","Connect First Credit Union","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=308147&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1db149c3&cb=1517779244790&jobListingId=2650296078"
"Managed Services Coordinator","Benevity","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=300602&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2ff0e0cc&cb=1517779244792&jobListingId=2650266990"
"Operations Manager","Travelers Companies  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=146174&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_55cea4fc&cb=1517779244793&jobListingId=2595093596"
"Financial Centre Sales Manager - FC 182 - Calgary Chinook","Sun Life Financial","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=60471&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_70e11d34&cb=1517779244793&jobListingId=2649389062"
"Senior Manager Security & Life Safety","Cadillac Fairview","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=272454&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_965cc1f1&cb=1517779244795&jobListingId=2571006830"
"Underwriting Manager, Personal Insurance","Travelers Companies","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=146174&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a74344fe&cb=1517779244796&jobListingId=2643289361"
"Account Manager","ABB  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=186496&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e37e6020&cb=1517779244797&jobListingId=2654947164"
"Trip Leader  Adventure Tour Guide","Backroads  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=268573&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_83c24ed3&cb=1517779244798&jobListingId=2559719138"
"Manager In Training","Weidner Apartment Homes  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=186496&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fb33095c&cb=1517779244804&jobListingId=2654946703"
"Operations Manager","instaMek","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf0bae09&cb=1517779244805&jobListingId=2516379576"
"Operations Manager","Fix Auto Canada  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=186496&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9f9d1f03&cb=1517779244806&jobListingId=2654947015"
"Software QA Manager","P2 Energy Solutions","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=285183&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7dc948f7&cb=1517779244807&jobListingId=2597800484"
"Warehouse Manager","TalentSphere Staffing Solutions","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=58811&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c50a0d6c&cb=1517779244808&jobListingId=2633966666"
"District Manager","National Money Mart  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=186496&s=58&guid=0000016162b1550f8059f3529e05f85f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c22b12c5&cb=1517779244810&jobListingId=2654946761"
