"Name","Company","State","City","Salary","Location","Url"
"Front of House Manager - Jack Astor's","SIR Corp.","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=288298&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f83d3105&cb=1517779260053&jobListingId=2643171977"
"Hilti Store Account Manager","Hilti North America","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=291816&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_77945449&cb=1517779260054&jobListingId=2650713169"
"Change Manager, Transformation","The Government of Nova Scotia","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=55938&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_38b232eb&cb=1517779260056&jobListingId=2650018944"
"National Operations Manager","Frontier Technology, Inc","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=3949&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a1c7a0b2&cb=1517779260057&jobListingId=2648791047"
"Client Services Manager NAHCM","ADP","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=138145&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1b467c08&cb=1517779260058&jobListingId=2570244554"
"Manager, Business Analytics","The Government of Nova Scotia","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=55938&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_840de440&cb=1517779260059&jobListingId=2649165961"
"Case Manager","Government of Canada  HOT","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_64d3a67a&cb=1517779260060&jobListingId=2522932742"
"Project Manager","Gevity Consulting","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4341&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a2ff2802&cb=1517779260061&jobListingId=2607249030"
"Office Manager","Talentworks  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=186496&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6660bda9&cb=1517779260062&jobListingId=2654951038"
"store manager","Starbucks","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=102921&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bafc53b8&cb=1517779260063&jobListingId=2598333597"
"Production Manager","CARSTAR Canada","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_486520b1&cb=1517779260064&jobListingId=2541412646"
"General Manager","Altus Group","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4130&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4125a972&cb=1517779260065&jobListingId=2621103762"
"Service Manager","Strongco","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=186496&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ff71ef37&cb=1517779260066&jobListingId=2654950954"
"Area Manager of Operations","CARSTAR","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=186496&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4376cbc0&cb=1517779260067&jobListingId=2654951179"
"Senior Project Manager - Mariner Innovations","Mariner Innovations","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4134&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_54b2bc17&cb=1517779260069&jobListingId=2651827101"
"LTD Case Manager","Manulife","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133692&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d3b12520&cb=1517779260069&jobListingId=2626631445"
"Energy Manager","Government of Canada  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ea7252f9&cb=1517779260075&jobListingId=2653522952"
"Territory Manager","Wood Wyant","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=186496&s=58&guid=0000016162b19115af4dc694659469d2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3aa8c9e1&cb=1517779260076&jobListingId=2654951301"
