"Name","Company","State","City","Salary","Location","Url"
"Manager of Inside Sales","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=273853&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5f80d1e9&cb=1517779238157&jobListingId=2606123009"
"Manager, PMO","Sienna Senior Living  HOT","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=310977&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_12956b0d&cb=1517779238158&jobListingId=2622508333"
"Retail Assistant Manager - Durham Centre","Purdys Chocolatier","","Ajax","","Ajax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=309705&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b598bce3&cb=1517779238159&jobListingId=2637429021"
"Market Access Manager - Ontario (GTA-based)","Purdue Pharma Canada","","Pickering","","Pickering","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=264093&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec369bbf&cb=1517779238160&jobListingId=2646599652"
"Manager IT","Sienna Senior Living  HOT","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=310976&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_56ac4c32&cb=1517779238161&jobListingId=2622509187"
"Service Manager - Scaddabush","SIR Corp.","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=288298&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9d3ef941&cb=1517779238162&jobListingId=2606192674"
"Store Manager","BoxLunch  NEW","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=134643&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6848a90&cb=1517779238164&jobListingId=2560960010"
"Team Leader, Operations CRM","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=288920&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_89b6f0ef&cb=1517779238164&jobListingId=2649784409"
"Store Manager I","SiteOne Landscape Supply","","Pickering","","Pickering","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=105957&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cbbc6b69&cb=1517779238165&jobListingId=2630679645"
"Personal Lines Account Manager","HUB International","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=179989&s=58&guid=0000016162b13b96bbc570ecf04f5cf1&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0262e74&cb=1517779238167&jobListingId=2625128298"
