"Name","Company","State","City","Salary","Location","Url"
"Bilingual and Unilingual Case Manager","WSIB","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=312333&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7839c612&cb=1517779223437&jobListingId=2650319090"
"FIeld Sales Manager","Kognitive Marketing","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=300952&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_343784e9&cb=1517779223438&jobListingId=2606558221"
"Marketing Manager","MD Financial Management Inc.","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=308875&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_29174d2e&cb=1517779223440&jobListingId=2586836063"
"Bilingual Data and Information Manager","Canada Mortgage and Housing Corporation  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=202667&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_666a3ce3&cb=1517779223441&jobListingId=2583753490"
"Manager on the Bench","Purdys Chocolatier","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=309701&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_325aea2b&cb=1517779223442&jobListingId=2613443974"
"Senior Product Manager - Security","Sitecore  NEW","","Gatineau","","Gatineau","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=311705&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8891758f&cb=1517779223443&jobListingId=2583191615"
"Senior Manager of Software Engineering (IP/MPLS Packet)","Ciena","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=194396&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_74459ea1&cb=1517779223444&jobListingId=2649436489"
"Product Manager, Core System","Payments Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=296209&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1d2e0ba1&cb=1517779223445&jobListingId=2582190699"
"General Manager - Jack Astor's","SIR Corp.","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=288298&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a188e284&cb=1517779223446&jobListingId=2606192673"
"Agile Project Manager","Pythian","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=283109&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_731d91a3&cb=1517779223448&jobListingId=2626540939"
"Health Solutions Manager, ADHD (Primary Care) - Ottawa, Pembroke","Purdue Pharma Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=264092&s=58&guid=0000016162b101cd8567eee91a6cf2a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dc0c08ea&cb=1517779223449&jobListingId=2644824286"
