"Name","Company","State","City","Salary","Location","Url"
"Autoplan Account Manager","Megson FitzPatrick","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=298651&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_af138f1b&cb=1517779204313&jobListingId=2638937679"
"Project Manager","Freshworks Studio  HOT","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=284214&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_972400d0&cb=1517779204314&jobListingId=2639467624"
"Sales Manager or Associate Manager Financial Centre 28 - Fraser Valley (Abbotsford)","Sun Life Financial","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=60471&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59d000b3&cb=1517779204314&jobListingId=2649287380"
"Territory Manager","Ecolab","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=278528&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b2ad0bd&cb=1517779204316&jobListingId=2626076447"
"Engagement Manager","Workday","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133591&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f35cb8c9&cb=1517779204317&jobListingId=2643387672"
"Sales Manager or Associate Manager Financial Centre 61 - Metro Vancouver","Sun Life Financial","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=60471&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_295fef06&cb=1517779204318&jobListingId=2649287530"
"Personal Insurance Account Manager","Megson FitzPatrick","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=298651&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_bbef2d9f&cb=1517779204319&jobListingId=2630647011"
"Marketing Manager","Rooof  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=66506&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e6e383b&cb=1517779204320&jobListingId=2629863485"
"Operations Manager","Steve Nash Fitness World","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=3949&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_71d1bf23&cb=1517779204321&jobListingId=2533713558"
"Support and Account Manager","Rooof  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=66506&s=58&guid=0000016162b0b736b2fe7fd0d35e578a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1c31c17&cb=1517779204322&jobListingId=2654898305"
