"Name","Company","State","City","Salary","Location","Url"
"Marketing Specialist,","DATA Communications Management","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=269817&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0ed74c89&cb=1517781313255&jobListingId=2638080349"
"Marketing & Communication Manager","SAITSA","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=302541&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5b66ef64&cb=1517781313257&jobListingId=2640575342"
"Business Development Specialist","TRADER Corporation","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=286554&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8578d210&cb=1517781313258&jobListingId=2649426498"
"Sales Associate","Brookfield Residential","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=309973&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_95ea5540&cb=1517781313259&jobListingId=2646992904"
"Marketing Manager","instaMek  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5a36c149&cb=1517781313260&jobListingId=2516379630"
"Marketing Coordinator","VistaVu","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_34245deb&cb=1517781313261&jobListingId=2637531528"
"Brand Activity Manager","Sleeman Breweries","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=292676&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d459890c&cb=1517781313262&jobListingId=2587194331"
"Marketing & Social Media Coordinator","Canadian Rocky Mountain Resorts","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=5765&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_71edf5dc&cb=1517781313310&jobListingId=2635316050"
"Financial Advisor","Experior Financial Group","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=309124&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ce90ad74&cb=1517781313311&jobListingId=2550930082"
"Marketing Assistant","3P Learning","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=14295&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a4565b47&cb=1517781313313&jobListingId=2649126482"
"Marketing Associate","Cresa Alberta  NEW","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=186496&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a95b1ff0&cb=1517781313314&jobListingId=2654947108"
"Product Development Research Scientist","NOVA Chemicals  HOT","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=296004&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9ecf4cbe&cb=1517781313315&jobListingId=2648973818"
"Marketing Specialist","Cummins","","Calgary","","Calgary","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=4120&s=58&guid=0000016162d0e53495799f5ff4a4d6a5&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_060f210c&cb=1517781313316&jobListingId=2650373327"
