"Name","Company","State","City","Salary","Location","Url"
"Bilingual Marketing Consultant,MMS","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=289485&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_19a5b45a&cb=1517781306595&jobListingId=2516454406"
"Tenure/Tenure Track - Assistant or Associate Professor - Marketing","UOIT","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4375&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6d1880e6&cb=1517781306597&jobListingId=2545238135"
"Marketing Director","Hallmark Canada  NEW","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4373&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_88e9cb8b&cb=1517781306598&jobListingId=2627885959"
"Junior Digital Marketer","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=273855&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_61badf41&cb=1517781306599&jobListingId=2605106080"
"CNC Set-Up Operator - VacForm","Array Marketing  NEW","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=290500&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ea4262f2&cb=1517781306600&jobListingId=2653399416"
"Mandarin/Cantonese/English Customer Care Ambassador","Concentrix  NEW","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=288913&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_512734ff&cb=1517781306600&jobListingId=2627762954"
"Content Writer","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=273854&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1ad2b18f&cb=1517781306601&jobListingId=2628703310"
"Machine Operator","Array Marketing","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=290500&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b00a7efb&cb=1517781306602&jobListingId=2604456633"
"Marketing Specialist","Stantec","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=55774&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4cde2172&cb=1517781306603&jobListingId=2640545994"
"Bilingual Sales Specialist ( Remote), MS","Concentrix","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=289485&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_93b71dbb&cb=1517781306605&jobListingId=2577883619"
"After Sales Marketing Consultant","Audi  NEW","","Ajax","","Ajax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=102921&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8d22e81f&cb=1517781306606&jobListingId=2652059809"
"Press Feeder","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=273854&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d005ff6c&cb=1517781306607&jobListingId=2514282662"
"MARKETING MANAGER","Asus Computer International  NEW","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=305740&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_edd28856&cb=1517781306607&jobListingId=2651408697"
"Marketing & Business Development Manager, Accessories","Volkswagen Group of America  NEW","","Ajax","","Ajax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=102921&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ce1bf826&cb=1517781306608&jobListingId=2653305863"
"Bilingual National Account Executive","East Penn Canada","","Ajax","","Ajax","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=292423&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b174e06e&cb=1517781306609&jobListingId=2618354267"
"Manager of Inside Sales","Sinalite","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=273853&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5c040a90&cb=1517781306610&jobListingId=2606123009"
"CNC Operator","Array Marketing","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=290500&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_aff32878&cb=1517781306612&jobListingId=2576554887"
"Personal Lines Account Manager","HUB International","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=179989&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_58db85b2&cb=1517781306613&jobListingId=2625128298"
"Marketing Production Manager","Refine Recruitment Inc.","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=58811&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2c83cc2f&cb=1517781306614&jobListingId=2604347549"
"Account Executive","Best Version Media","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=305740&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e87e0bab&cb=1517781306615&jobListingId=2649869121"
"Finance Business Partner, G&A Expenses","Array Marketing","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=290500&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_281744c4&cb=1517781306621&jobListingId=2592378390"
"Marketing Specialist","Cantel Medical","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=52448&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f6bb1432&cb=1517781306623&jobListingId=2647811712"
"Senior Analyst, Resource Forecasting (contact centre)","Scotiabank","","Scarborough","","Scarborough","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=288029&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_790af724&cb=1517781306624&jobListingId=2648732965"
"Product Marketing Manager","ITW Construction Products Canada","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4128&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7cc785ca&cb=1517781306625&jobListingId=2514608572"
"Bilingual Junior Marketing and Purchasing Associate","Bilingual Source","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=135403&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fbf64f53&cb=1517781306626&jobListingId=1935306584"
"Product Innovation Marketing Manager","","","Malvern","","Malvern","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=191997&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1b43701e&cb=1517781306627&jobListingId=2653729822"
"Faculty of Business and Information Technology - Tenure/Tenure Track - Assistant or Associate Professor - Marketing","University of Ontario Institute of Technology","","Oshawa","","Oshawa","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=4011&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_09e1a2e7&cb=1517781306628&jobListingId=2545613868"
"Channel Marketing Specialist OPBG","Asus Computer International  NEW","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=305740&s=58&guid=0000016162d0cb358734251bd9dde320&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fb2dcf0f&cb=1517781306629&jobListingId=2651408628"
