"Name","Company","State","City","Salary","Location","Url"
"Partner Marketing Manager","Klipfolio","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=296182&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_528eed63&cb=1517781269198&jobListingId=2645814217"
"Marketing Manager","MD Financial Management Inc.","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=308875&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_32aa04dd&cb=1517781269200&jobListingId=2586836063"
"Marketing Officer","Government of Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f555515&cb=1517781269201&jobListingId=2645666482"
"FIeld Sales Manager","Kognitive Marketing","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=300952&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee0e2bda&cb=1517781269202&jobListingId=2606558221"
"Promotional Writer","Altis Professional","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=273833&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b036f5ce&cb=1517781269203&jobListingId=2576023936"
"Engagement Strategist","McMillan","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=263039&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_57154936&cb=1517781269204&jobListingId=2610545247"
"Demand Generation & Marketing Communications","Spoonity  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=66506&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8723acd0&cb=1517781269205&jobListingId=2371059188"
"Global Recruitment Marketing & Sourcing Specialist","Pythian","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=282345&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_19c6faff&cb=1517781269206&jobListingId=2599180429"
"Digital Communications and Marketing Gurus","Government of Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8c81acc1&cb=1517781269207&jobListingId=2570744142"
"Student Intern","McMillan  HOT","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=278170&s=58&guid=0000016162d0390b9fbe5ec57b160cd3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cf4b8e7d&cb=1517781269208&jobListingId=2586707504"
