"Name","Company","State","City","Salary","Location","Url"
"Senior Product Marketing Manager","[24]7  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=310227&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a4a708f3&cb=1517781373211&jobListingId=2628056105"
"Marketing Operations Manager","Uberflip","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=310688&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3ee65c5f&cb=1517781373212&jobListingId=2632798782"
"Marketing Co-ordinator","Tucows","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=287946&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_23094afa&cb=1517781373214&jobListingId=2645588288"
"Marketing Manager","Woodbine Entertainment Group","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=309695&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_703286e5&cb=1517781373215&jobListingId=2635312038"
"Marketing Associate","theScore Inc.  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=309962&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bd406ea9&cb=1517781373217&jobListingId=2545611048"
"Marketing Manager - Ting Mobile","Tucows","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=287947&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_91dd0696&cb=1517781373218&jobListingId=2644231663"
"Digital Marketing Specialist","[24]7  HOT","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=310223&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4ee26eea&cb=1517781373219&jobListingId=2618963213"
"Marketing Automation Solutions Manager","Traction on Demand","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=305449&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d59fbb73&cb=1517781373220&jobListingId=2644418811"
"Growth Manager","SnapTravel  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=300529&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0d6847e8&cb=1517781373222&jobListingId=2651179624"
"Associate Brand Manager","Beam Suntory","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=296391&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8aea4b20&cb=1517781373223&jobListingId=2605810230"
"Sr Manager Marketing","Ceridian","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=241940&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_282a6f18&cb=1517781373224&jobListingId=2615899516"
"Customer Sales Representative","Sandpiper Energy Solutions","","Vaughan","","Vaughan","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=247397&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_beaca80f&cb=1517781373225&jobListingId=2524248889"
"Senior Marketing Consultant","MultiView","","Thornhill","","Thornhill","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=191757&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d4f9f84b&cb=1517781373227&jobListingId=2411616081"
"Product Marketing Specialist","Centro  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=285634&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_09646782&cb=1517781373229&jobListingId=2627906758"
"Events Coordinator (7 month contract)","GoFetch  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=292693&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_56205599&cb=1517781373230&jobListingId=2653008104"
"ABM and Industry Programs Marketing Manager","[24]7","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=310223&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_985a7249&cb=1517781373231&jobListingId=2618004238"
"Marketing Coordinator","PolicyMedical","","Richmond Hill","","Richmond Hill","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=52329&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_dab1a0fc&cb=1517781373232&jobListingId=2625997200"
"Category Manager","GoFetch  NEW","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=283757&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ccdb0624&cb=1517781373234&jobListingId=2653005119"
"Canada Marketing Manager, Government","Amazon","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=133043&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c6b3cb46&cb=1517781373235&jobListingId=2605686410"
"Product Marketing Manager","Ceridian","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=241940&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5b1d9993&cb=1517781373236&jobListingId=2615899512"
"Digital Marketing Manager","Loan Away","","Mississauga","","Mississauga","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=221702&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7ec76092&cb=1517781373237&jobListingId=2309668984"
"Marketing Coordinator","Gensler","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=134149&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4bd2c1de&cb=1517781373239&jobListingId=2630666743"
"Marketing Director","Hallmark Canada  NEW","","Markham","","Markham","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4373&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_06f6c684&cb=1517781373240&jobListingId=2627885959"
"Marketing Coordinator (12 Month Contract)","UMG Canada","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4128&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c1b7e54c&cb=1517781373241&jobListingId=2647238156"
"Marketing Manager, Loyalty","Rakuten Kobo Inc.","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=308902&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3d811c9e&cb=1517781373242&jobListingId=2637483476"
"RMT - Registered Massage Therapist","Massage Addict","","Aurora","","Aurora","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=248860&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2c68f88e&cb=1517781373243&jobListingId=2607952616"
"Marketing Campaign Manager","Ceridian","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=241940&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3b9c74e8&cb=1517781373244&jobListingId=2563698607"
"Local Marketing Manager","Lyft","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=133581&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_43cf5bb4&cb=1517781373246&jobListingId=2634058129"
"Business Development Representative","Uberflip","","Toronto","","Toronto","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=310690&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_76eaf9bf&cb=1517781373248&jobListingId=2614163366"
"Account Executive","OnX Enterprise Solutions  NEW","","Thornhill","","Thornhill","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=205365&s=58&guid=0000016162d1cf26a7962bbb112d0f12&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d9e84270&cb=1517781373249&jobListingId=2333628735"
