"Name","Company","State","City","Salary","Location","Url"
"Marketing Specialist","Star Solutions (Canada)","","Richmond","","Richmond","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=297350&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_367c0555&cb=1517781248277&jobListingId=2646232652"
"Marketing Coordinator","Stemcell Technologies","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=311490&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3b271901&cb=1517781248278&jobListingId=2633083879"
"Marketing and Events Coordinator (7 month contract)","GoFetch  HOT","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=292693&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_68779321&cb=1517781248284&jobListingId=2646270894"
"Email Marketing Specialist","Purdys Chocolatier","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=309701&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b77bfede&cb=1517781248285&jobListingId=2613443969"
"Scientific Marketing Specialist","Stemcell Technologies","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=311490&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4b58190c&cb=1517781248286&jobListingId=2646646038"
"Executive Vice President, Marketing","LGM Financial Services Inc.","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=311804&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ae81fe98&cb=1517781248287&jobListingId=2650137990"
"Marketing Manager","Elements Casino","","Surrey","","Surrey","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=301800&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_aa43ebed&cb=1517781248289&jobListingId=2638910775"
"Marketing Automation Solutions Manager","Traction on Demand","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=305449&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b3dca47e&cb=1517781248290&jobListingId=2644418801"
"UI/UX Designer","xMatters","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=303265&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_29fdda9f&cb=1517781248291&jobListingId=2643299866"
"Director, Growth Marketing","Bench","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=270827&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3593763f&cb=1517781248292&jobListingId=2631436861"
"Marketing Manager","Cucumber Marketing","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=286558&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_99db4869&cb=1517781248293&jobListingId=2606048832"
"Senior Demand Marketing Manager, ABM","Vision Critical","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=299262&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9e556121&cb=1517781248294&jobListingId=2643210620"
"Digital Marketing Strategist","Hootsuite","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=8095&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c8900234&cb=1517781248295&jobListingId=2648321372"
"Sales Representative","Ideal Image","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=307903&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4a363a0e&cb=1517781248296&jobListingId=2626635839"
"Digital Marketing and Communications Coordinator","City of Burnaby","","Burnaby","","Burnaby","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=3949&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_467a16fc&cb=1517781248297&jobListingId=2648791524"
"Digital Marketing Coordinator","Leavitt Machinery","","Surrey","","Surrey","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=283803&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d6bf0658&cb=1517781248298&jobListingId=2618562723"
"Full-Stack Web Developer","Stemcell Technologies","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=311487&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1ad78029&cb=1517781248299&jobListingId=2626037440"
"Marketing Coordinator","Sandman Hotel Group","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4342&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_53152ac6&cb=1517781248300&jobListingId=2645303297"
"Marketing Internship","CareerUp","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=85058&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c1c2e02b&cb=1517781248302&jobListingId=2640096280"
"Marketing Manager","Bluzelle","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=14295&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_ce5b9801&cb=1517781248303&jobListingId=2649126568"
"Marketing Coordinator - Content Writer","Leavitt Machinery","","Surrey","","Surrey","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=283803&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_67aae4d7&cb=1517781248304&jobListingId=2625523705"
"Marketing Coordinator","Vitasave.ca  NEW","","North Vancouver","","North Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=152239&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f2c2b612&cb=1517781248305&jobListingId=2627131858"
"Marketing Coordinator","The Creative Group","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=133516&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_27f60079&cb=1517781248306&jobListingId=2649385121"
"Sales Representative","Knowledge First Financial  NEW","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=291536&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e73a68b3&cb=1517781248307&jobListingId=2465397590"
"SEO Strategist","6S Marketing","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=205025&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_de1dffdf&cb=1517781248308&jobListingId=2571592443"
"Marketing Coordinator","OpenRoad","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_39ba3794&cb=1517781248309&jobListingId=2592137075"
"Senior Financial Consultant","MD Financial Management Inc.","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=308872&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2110dfd1&cb=1517781248310&jobListingId=2558598569"
"Marketing & Comms Coord - Recreation & Facilities","University of British Columbia","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4468&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c4d50958&cb=1517781248311&jobListingId=2650437740"
"Scientific Inside Sales Representative","Stemcell Technologies","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=311489&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b1722097&cb=1517781248312&jobListingId=2466985314"
"Bookkeeping & Administration Ninja","Natural Source - Healthy Office Snacks","","Vancouver","","Vancouver","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=299219&s=58&guid=0000016162cfe731b25c7d41e83fe974&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8c701dff&cb=1517781248313&jobListingId=2631355660"
