"Name","Company","State","City","Salary","Location","Url"
"Proposal Writer","R.A. Malatest & Associates","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=259600&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_56edebd9&cb=1517781240742&jobListingId=2564279373"
"Victoria - Non-Profit Fundraiser","Public Outreach","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=267827&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_53169776&cb=1517781240743&jobListingId=1518273066"
"Coordinator, Marketing","RioCan","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=186601&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7a147e32&cb=1517781240744&jobListingId=2646892236"
"Marketing Manager","Rooof  HOT","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=66506&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6ea8fd0d&cb=1517781240745&jobListingId=2629863485"
"Marketing / Communication Intern Canada","Schneider Electric","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133469&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7a0110b0&cb=1517781240746&jobListingId=2641361319"
"Event & Digital Marketing Professional","Unit4","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133726&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0a8cd28c&cb=1517781240747&jobListingId=2631071500"
"Marketing Specialist","View Royal Casino","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=5765&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8a6c265a&cb=1517781240748&jobListingId=2643484776"
"Marketing Specialist","Great Canadian Casinos","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c423bd1c&cb=1517781240749&jobListingId=2639170951"
"Marketing Specialist","Reliable Controls","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2b89d719&cb=1517781240750&jobListingId=2611583968"
"Digital Marketing Manager","Epicure  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ef4327ec&cb=1517781240751&jobListingId=2628868361"
"Customer Solutions Specialist","The Acquisition Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=218400&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8403cbe8&cb=1517781240752&jobListingId=2650465993"
"Management Trainee","Enterprise Holdings","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=175971&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d0c9a6f0&cb=1517781240753&jobListingId=2525576407"
"Growth Marketer","Kano/Apps","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=66506&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_02365703&cb=1517781240754&jobListingId=2644933978"
"Management Trainee","Enterprise Rent-A-Car","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=183620&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a1ad6485&cb=1517781240755&jobListingId=2525210714"
"NESPRESSO Retail Sales Associate - part-time - VICTORIA- 17$ hr","Match Marketing  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4011&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1e1ff894&cb=1517781240756&jobListingId=2652644694"
"Merchandiser","Match Marketing  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4011&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f2660c57&cb=1517781240757&jobListingId=2651180117"
"Project Manager (Toronto and Victoria) ","Starfish Medical","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_44c56228&cb=1517781240757&jobListingId=2565420168"
"Copywriter","Checkfront","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=66506&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3189ca87&cb=1517781240758&jobListingId=2484218476"
"Consumer Electronics Sales Representative Part Time Canada - EPT","Advantage Sales & Marketing LLC dba Advantage Solutions  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=52448&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4ac43e55&cb=1517781240759&jobListingId=2654630363"
"Support and Account Manager","Rooof","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=66506&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_76f04884&cb=1517781240760&jobListingId=2654898305"
"Merchandiser - Victoria/Cobble Hill","Match Marketing Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4375&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e16a1f1c&cb=1517781240761&jobListingId=2650561475"
"Account Manager","RingPartner  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=66506&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7a34dbba&cb=1517781240762&jobListingId=2654004092"
"Social Media Manager","Epicure  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bb357722&cb=1517781240763&jobListingId=2607699039"
"Account Executive","Best Version Media","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=305740&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2015eb4a&cb=1517781240763&jobListingId=2649869294"
"Campus Brand Manager (University","SkipTheDishes","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=171802&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f2c8f33e&cb=1517781240764&jobListingId=2534314064"
"Director, Food & Beverage","Fairmont Hotels & Resorts  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=102921&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_42f2a9ee&cb=1517781240765&jobListingId=2560242834"
"Sales Manager","Omnitracs  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=134969&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_969f4eac&cb=1517781240766&jobListingId=2608233969"
"Financial Services Representative II","CIBC","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=136804&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_03ac956e&cb=1517781240767&jobListingId=2648950732"
"Senior Proposal Writer","R.A. Malatest & Associates","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=244237&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_738f744c&cb=1517781240768&jobListingId=2514563452"
"Annual Giving Coordinator","University of Victoria","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4129&s=58&guid=0000016162cfc9dc963001d9141f9c5e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_df4a87a0&cb=1517781240768&jobListingId=2650514154"
