"Name","Company","State","City","Salary","Location","Url"
"Technology Sales Representative","Stratomer IT Services","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=284940&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8e7e47c8&cb=1517778879181&jobListingId=2600378650"
"Sales Associate","Sleep Country Canada","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=256559&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7521d1dc&cb=1517778879182&jobListingId=2649794281"
"Sales Representative","Knowledge First Financial  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=291536&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_32e191b6&cb=1517778879183&jobListingId=2465397586"
"Account Representative","TradeRev","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=209037&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dcaac9cc&cb=1517778879184&jobListingId=2626782272"
"Sales Representative (Retail & On-Premise)","Sleeman Breweries","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=292677&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_93ae83f7&cb=1517778879185&jobListingId=2646976282"
"Sales Manager","Uline  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=68570&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_55374400&cb=1517778879187&jobListingId=2607288202"
"Territory Account Manager","TradeRev","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=205205&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a57098a3&cb=1517778879188&jobListingId=2637638150"
"Purchasing Manager","Lehigh Hanson","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=177835&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82addbf6&cb=1517778879189&jobListingId=2533721624"
"Entry Level Account Manager (HS Sales Consultant)","Hilti North America  NEW","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=291816&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_24dc5b7f&cb=1517778879190&jobListingId=2653010004"
"Collector","MetCredit","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=286309&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_475f23b8&cb=1517778879191&jobListingId=2605226747"
"Sales Representative","Lawson Products","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=3949&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1810baf9&cb=1517778879192&jobListingId=2565661172"
"Capture Representative","TradeRev","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=205204&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f6dc227a&cb=1517778879194&jobListingId=2632798779"
"Social Media Specialist","Brookfield Residential","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=309976&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_090cec25&cb=1517778879195&jobListingId=2641382968"
"Real Estate Agent","Royal LePage Noralta Real Estate","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=305276&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c3a4861b&cb=1517778879197&jobListingId=2648831155"
"Sales Management Trainee","Enterprise Holdings","","Edmonton","","Edmonton","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=175968&s=58&guid=0000016162abc0c098095c3ed2a48c95&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b6a2efd0&cb=1517778879198&jobListingId=2524311062"
