"Name","Company","State","City","Salary","Location","Url"
"Inside Sales Representative","TradeRev","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=209037&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_41da6b4f&cb=1517778872445&jobListingId=2626782268"
"Financial Advisor","Experior Financial Group","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=309124&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3b5c9fbd&cb=1517778872446&jobListingId=2550894966"
"Sales Specialist","Kognitive Marketing","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=279935&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_be1374f3&cb=1517778872447&jobListingId=2618465254"
"Account Executive","Sun Life Financial","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=180663&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_408c3ef5&cb=1517778872448&jobListingId=2649287288"
"Image Sales Consultant - Face to Face Inside Sales","Hair Club","","Bedford","","Bedford","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=268856&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc32995e&cb=1517778872450&jobListingId=2647280658"
"Outside Sales Representative","Reynolds and Reynolds  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=186496&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bf4c5460&cb=1517778872451&jobListingId=2654950997"
"Sales Development Representative","Dash Hudson","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=93842&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6f57f1ab&cb=1517778872452&jobListingId=2648467118"
"Sales Representative","Knowledge First Financial  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=291579&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72270a23&cb=1517778872454&jobListingId=2465397576"
"Front of House Manager - Jack Astor's","SIR Corp.","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=288298&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67e0354d&cb=1517778872454&jobListingId=2643171977"
"Hilti Store Account Manager","Hilti North America","","Dartmouth","","Dartmouth","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=291816&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8495001&cb=1517778872456&jobListingId=2650713169"
"Portfolio Assistant Sales","BMO Financial Group","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=186496&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8451d660&cb=1517778872457&jobListingId=2654951053"
"Sales Representative","Lawson Products  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=37049&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cf3297de&cb=1517778872458&jobListingId=2652944194"
"Commissioned Sales Associate","Nearest","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=287142&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1cabfe23&cb=1517778872459&jobListingId=2606907378"
"Sales Representative - Automotive Industry","Walker Group Manufacturing","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=186496&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6a0e0ce9&cb=1517778872460&jobListingId=2654951325"
"Bilingual Customer Sales and Service Agents -","Air Canada","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=186496&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_878662e8&cb=1517778872461&jobListingId=2654951141"
"Sales Representative","Aerotek","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=102921&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7dad4de3&cb=1517778872462&jobListingId=2650410243"
"Territory Sales Representative","Reynolds and Reynolds","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=180628&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_3944992c&cb=1517778872463&jobListingId=2605083071"
"Sales Account Executive","Best Version Media","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=134277&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_51160c05&cb=1517778872465&jobListingId=2649839090"
"Heavy Equipment Export Sales Representative","Alliance Trade and Commerce","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=186496&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0e28c32c&cb=1517778872466&jobListingId=2654951024"
"Sales Representative","Reynolds and Reynolds","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=180628&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_874912ef&cb=1517778872467&jobListingId=2601718418"
"Part Time Financial Sales Rep","goeasy  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=137273&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7ea042ec&cb=1517778872468&jobListingId=2607940360"
"Retail Sales Associate - ASAP Hiring!","astoria marketing  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=178789&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5dc9ce5d&cb=1517778872469&jobListingId=2653946966"
"Sales Associate - Halifax Smartcentre","Gap  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=142498&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd80314d&cb=1517778872470&jobListingId=2629351301"
"Sales CER - Chapters Halifax (daytime availability necessary)","Indigo Books & Music","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4134&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_beff87a7&cb=1517778872470&jobListingId=2654767557"
"B2B Sales","Best Version Media","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=85058&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a59383f4&cb=1517778872471&jobListingId=2644072309"
"Financial Advisor","Freedom 55 Financial","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=273233&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b2d75afe&cb=1517778872472&jobListingId=2610607315"
"Sales Acceleration Project Coordinator","Sales Beacon","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=66506&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a261ba5d&cb=1517778872474&jobListingId=2508406938"
"Full Time Sales Associate","Aedos Marketing Concepts","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=93842&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59f8212d&cb=1517778872475&jobListingId=2648467103"
"Assistant Sales Manager- Naturalizer","Caleres, Inc.  NEW","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=135053&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc27c3d7&cb=1517778872476&jobListingId=2606857279"
"Sales Representative","Ledcor Group","","Halifax","","Halifax","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4120&s=58&guid=0000016162aba673b55c8c0f878ea6c0&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a85499ea&cb=1517778872477&jobListingId=2630931093"
