"Name","Company","State","City","Salary","Location","Url"
"Sales Guru","Altis Professional","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=273833&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8e51e7be&cb=1517778909873&jobListingId=2575566551"
"Sales Associate","Sleep Country Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=256559&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3cba572c&cb=1517778909875&jobListingId=2640612857"
"FIeld Sales Manager","Kognitive Marketing","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=300952&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b22c060c&cb=1517778909876&jobListingId=2606558221"
"Sales Solutions Specialist","Distributel","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=312077&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ee2327b2&cb=1517778909877&jobListingId=2649886206"
"Retail Sales Positions","Sally Beauty Holdings  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=235427&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec5bd6fa&cb=1517778909879&jobListingId=2652140719"
"Sales Specialist","Kognitive Marketing","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=279935&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a9ae683e&cb=1517778909879&jobListingId=1999262206"
"Business Development and Talent Aquisition","Altis Professional","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=273833&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_39450bce&cb=1517778909881&jobListingId=2575550630"
"Health Solutions Manager, ADHD (Primary Care) - Ottawa, Pembroke","Purdue Pharma Canada","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=264092&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8341d793&cb=1517778909882&jobListingId=2644824286"
"Sales Representative","Uline","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=68571&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b0b8763d&cb=1517778909883&jobListingId=2577349266"
"IT Recruiter","Altis Professional","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=273833&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7e27c9f8&cb=1517778909884&jobListingId=2575562981"
"Sales Representative","PepsiCo  NEW","","Ottawa","","Ottawa","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=132922&s=58&guid=0000016162ac388ba4756b1fc9662fe4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_911ffe09&cb=1517778909885&jobListingId=2629444112"
