"Name","Company","State","City","Salary","Location","Url"
"Victoria - Non-Profit Fundraiser","Public Outreach","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=267827&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1ab12b22&cb=1517778928260&jobListingId=1518273066"
"Sales Development Representative","Checkfront","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4120&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd9f4f95&cb=1517778928261&jobListingId=2483980555"
"Service Advisor (Insurance)","BCAA","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=268338&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc4fe53a&cb=1517778928263&jobListingId=2509286481"
"Sales Manager or Associate Manager Financial Centre 61 - Metro Vancouver","Sun Life Financial","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=60471&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cfbdcb24&cb=1517778928264&jobListingId=2649287530"
"Commercial Underwriter","Western Financial Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=302745&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_35dc83ca&cb=1517778928266&jobListingId=2641663331"
"Sales Manager or Associate Manager Financial Centre 28 - Fraser Valley (Abbotsford)","Sun Life Financial","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=60471&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7eb6c251&cb=1517778928267&jobListingId=2649287380"
"Sales Executive","RevenueWire","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_298b3d06&cb=1517778928268&jobListingId=2426920186"
"Sales Associate","Knewsales Group  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=46442&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b4cc1f9a&cb=1517778928269&jobListingId=2651163663"
"Customer Sales and Service Agent","The Acquisition Group","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=218402&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_232fe671&cb=1517778928270&jobListingId=2643148261"
"Sales Representative","Best Version Media  NEW","","Victoria","","Victoria","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=119721&s=58&guid=0000016162ac80529d1d47665c199ebc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4042db9c&cb=1517778928271&jobListingId=2652780370"
